from,to,pais_origen,pais_destino
https://es.wikipedia.org/wiki/Antonia_Vergara_y_Sanz_de_Santamar%C3%ADa,https://es.wikipedia.org/wiki/Jos%C3%A9_Gregorio_Guti%C3%A9rrez,ecuador,colombia
https://es.wikipedia.org/wiki/Antonio_Jos%C3%A9_de_Sucre,https://es.wikipedia.org/wiki/Simona_de_Sucre_Bravo,venezuela,ecuador
https://es.wikipedia.org/wiki/Antonio_Jos%C3%A9_de_Sucre,https://es.wikipedia.org/wiki/Vicente_de_Sucre,venezuela,peru
https://es.wikipedia.org/wiki/Antonio_Podest%C3%A1,https://es.wikipedia.org/wiki/Lea_Conti,uruguay,argentina
https://es.wikipedia.org/wiki/Antonio_Podest%C3%A1,https://es.wikipedia.org/wiki/Pedro_Podest%C3%A1,uruguay,argentina
https://es.wikipedia.org/wiki/Antonio_Samper_Uribe,https://es.wikipedia.org/wiki/Juan_Samper_Sordo,colombia,argentina
https://es.wikipedia.org/wiki/Antonio_de_la_R%C3%BAa,https://es.wikipedia.org/wiki/Shakira,argentina,colombia
https://es.wikipedia.org/wiki/Aparicio_Podest%C3%A1,https://es.wikipedia.org/wiki/Esther_Boggini,uruguay,argentina
https://es.wikipedia.org/wiki/Aparicio_Podest%C3%A1,https://es.wikipedia.org/wiki/Juan_Vicente_Podest%C3%A1,uruguay,argentina
https://es.wikipedia.org/wiki/Arturo_Borja,https://es.wikipedia.org/wiki/Luis_Felipe_Borja_P%C3%A9rez,colombia,ecuador
https://es.wikipedia.org/wiki/Arturo_Podest%C3%A1,https://es.wikipedia.org/wiki/Ger%C3%B3nimo_Podest%C3%A1,uruguay,argentina
https://es.wikipedia.org/wiki/Arturo_Puga,https://es.wikipedia.org/wiki/Bertha_Puga,colombia,chile
https://es.wikipedia.org/wiki/Augusto_Wiese_Eslava,https://es.wikipedia.org/wiki/Augusto_Wiese_de_Osma,argentina,peru
https://es.wikipedia.org/wiki/Augusto_Wiese_Eslava,https://es.wikipedia.org/wiki/Guillermo_Wiese_de_Osma,argentina,peru
https://es.wikipedia.org/wiki/Augusto_Wiese_de_Osma,https://es.wikipedia.org/wiki/Augusto_Wiese_Eslava,argentina,peru
https://es.wikipedia.org/wiki/Aurora_L%C3%B3pez_P%C3%A9rez,https://es.wikipedia.org/wiki/Eduardo_L%C3%B3pez_Bustamante,colombia,venezuela
https://es.wikipedia.org/wiki/Baltasar_Unquera,https://es.wikipedia.org/wiki/Martina_Warnes,uruguay,argentina
https://es.wikipedia.org/wiki/Beatriz_Moreno,https://es.wikipedia.org/wiki/Jos%C3%A9_El%C3%ADas_Moreno,peru,mexico
https://es.wikipedia.org/wiki/Benjam%C3%ADn_Vicu%C3%B1a,https://es.wikipedia.org/wiki/China_Su%C3%A1rez,chile,argentina
https://es.wikipedia.org/wiki/Benjam%C3%ADn_Vicu%C3%B1a,https://es.wikipedia.org/wiki/Pampita,chile,argentina
https://es.wikipedia.org/wiki/Bertha_Puga,https://es.wikipedia.org/wiki/Arturo_Puga,colombia,chile
https://es.wikipedia.org/wiki/Blanca_Luz_Brum,https://es.wikipedia.org/wiki/David_Alfaro_Siqueiros,peru,mexico
https://es.wikipedia.org/wiki/Blanca_Podest%C3%A1,https://es.wikipedia.org/wiki/Alberto_Ballerini,uruguay,argentina
https://es.wikipedia.org/wiki/Blanca_Podest%C3%A1,https://es.wikipedia.org/wiki/Ger%C3%B3nimo_Podest%C3%A1,uruguay,argentina
https://es.wikipedia.org/wiki/Blanca_Varela,https://es.wikipedia.org/wiki/Fernando_de_Szyszlo,argentina,peru
https://es.wikipedia.org/wiki/Blanca_Varela,https://es.wikipedia.org/wiki/Fernando_de_Szyszlo,uruguay,peru
https://es.wikipedia.org/wiki/Blanca_Varela,https://es.wikipedia.org/wiki/Serafina_Quinteras,argentina,peru
https://es.wikipedia.org/wiki/Blanca_Varela,https://es.wikipedia.org/wiki/Serafina_Quinteras,uruguay,peru
https://es.wikipedia.org/wiki/Buenaventura_Marc%C3%B3_del_Pont,https://es.wikipedia.org/wiki/Casimiro_Marc%C3%B3_del_Pont,peru,argentina
https://es.wikipedia.org/wiki/Buenaventura_Marc%C3%B3_del_Pont,https://es.wikipedia.org/wiki/Manuel_Mar%C3%ADa_Marc%C3%B3_del_Pont,peru,argentina
https://es.wikipedia.org/wiki/C%C3%A9sar_Borja_Lavayen,https://es.wikipedia.org/wiki/Rosa_Borja_de_Icaza,colombia,ecuador
https://es.wikipedia.org/wiki/C%C3%A9sar_Mir%C3%B3,https://es.wikipedia.org/wiki/Blanca_Luz_Brum,peru,uruguay
https://es.wikipedia.org/wiki/Carlos_Antonio_L%C3%B3pez,https://es.wikipedia.org/wiki/Francisco_Solano_L%C3%B3pez,argentina,paraguay
https://es.wikipedia.org/wiki/Carlos_Antonio_L%C3%B3pez,https://es.wikipedia.org/wiki/Juana_Pabla_Carrillo,argentina,paraguay
https://es.wikipedia.org/wiki/Carlos_Antonio_L%C3%B3pez,https://es.wikipedia.org/wiki/Venancio_L%C3%B3pez,argentina,paraguay
https://es.wikipedia.org/wiki/Carlos_Cano_de_la_Fuente,https://es.wikipedia.org/wiki/Alonso_Cano_(actor,colombia,peru
https://es.wikipedia.org/wiki/Carlos_Cano_de_la_Fuente,https://es.wikipedia.org/wiki/Carolina_Cano,colombia,peru
https://es.wikipedia.org/wiki/Carlos_Cano_de_la_Fuente,https://es.wikipedia.org/wiki/Patricia_Frayssinet,colombia,peru
https://es.wikipedia.org/wiki/Carlos_Holgu%C3%ADn_Mallarino,https://es.wikipedia.org/wiki/%C3%81lvaro_Holgu%C3%ADn_y_Caro,venezuela,colombia
https://es.wikipedia.org/wiki/Carlos_Holgu%C3%ADn_Mallarino,https://es.wikipedia.org/wiki/Clemencia_Holgu%C3%ADn_de_Urdaneta,venezuela,colombia
https://es.wikipedia.org/wiki/Carlos_Holgu%C3%ADn_Mallarino,https://es.wikipedia.org/wiki/Hernando_Holgu%C3%ADn_y_Caro,venezuela,colombia
https://es.wikipedia.org/wiki/Carlos_Holgu%C3%ADn_Mallarino,https://es.wikipedia.org/wiki/Margarita_Caro_Tobar,venezuela,colombia
https://es.wikipedia.org/wiki/Carlos_Holgu%C3%ADn_Mallarino,https://es.wikipedia.org/wiki/Margarita_Holgu%C3%ADn_Caro,venezuela,colombia
https://es.wikipedia.org/wiki/Carlos_Holgu%C3%ADn_Mallarino,https://es.wikipedia.org/wiki/Vicente_Holgu%C3%ADn,venezuela,colombia
https://es.wikipedia.org/wiki/Carlos_L%C3%B3pez_Bustamante,https://es.wikipedia.org/wiki/Eduardo_L%C3%B3pez_Rivas,colombia,venezuela
https://es.wikipedia.org/wiki/Carlos_Menem,https://es.wikipedia.org/wiki/Cecilia_Bolocco,argentina,chile
https://es.wikipedia.org/wiki/Carlos_Villaveces_Restrepo,https://es.wikipedia.org/wiki/Le%C3%B3n_Villaveces_Ib%C3%A1%C3%B1ez,venezuela,colombia
https://es.wikipedia.org/wiki/Carmen_Calisto_Ponce,https://es.wikipedia.org/wiki/Rodrigo_Borja_Cevallos,colombia,ecuador
https://es.wikipedia.org/wiki/Carolina_Cano,https://es.wikipedia.org/wiki/Carlos_Cano_de_la_Fuente,colombia,peru
https://es.wikipedia.org/wiki/Carolina_Cano,https://es.wikipedia.org/wiki/Joaqu%C3%ADn_de_Orbegoso,colombia,peru
https://es.wikipedia.org/wiki/Carolina_Cano,https://es.wikipedia.org/wiki/Patricia_Frayssinet,colombia,peru
https://es.wikipedia.org/wiki/Carolina_Mestrovic,https://es.wikipedia.org/wiki/Jonathan_Freudman,chile,venezuela
https://es.wikipedia.org/wiki/Casimiro_Marc%C3%B3_del_Pont,https://es.wikipedia.org/wiki/Buenaventura_Marc%C3%B3_del_Pont,peru,argentina
https://es.wikipedia.org/wiki/Catalina_Su%C3%A1rez_Marcayda,https://es.wikipedia.org/wiki/Hern%C3%A1n_Cort%C3%A9s,mexico,chile
https://es.wikipedia.org/wiki/Cecilia_Alegr%C3%ADa,https://es.wikipedia.org/wiki/Alessia_Injoque,peru,chile
https://es.wikipedia.org/wiki/Cecilia_Alegr%C3%ADa_Varona,https://es.wikipedia.org/wiki/Alessia_Injoque,peru,chile
https://es.wikipedia.org/wiki/Celia_Podest%C3%A1,https://es.wikipedia.org/wiki/Arturo_Podest%C3%A1,uruguay,argentina
https://es.wikipedia.org/wiki/Che_Guevara,https://es.wikipedia.org/wiki/Hilda_Gadea,argentina,peru
https://es.wikipedia.org/wiki/China_Su%C3%A1rez,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Cabr%C3%A9,chile,argentina
https://es.wikipedia.org/wiki/Christian_Bach,https://es.wikipedia.org/wiki/Carlos_Andr%C3%A9s_Calvo,mexico,argentina
https://es.wikipedia.org/wiki/Clemencia_Holgu%C3%ADn_de_Urdaneta,https://es.wikipedia.org/wiki/Carlos_Holgu%C3%ADn_Mallarino,venezuela,colombia
https://es.wikipedia.org/wiki/Clemencia_Holgu%C3%ADn_de_Urdaneta,https://es.wikipedia.org/wiki/Margarita_Caro_Tobar,venezuela,colombia
https://es.wikipedia.org/wiki/Clemencia_Holgu%C3%ADn_de_Urdaneta,https://es.wikipedia.org/wiki/Roberto_Urdaneta,venezuela,colombia
https://es.wikipedia.org/wiki/Clemencia_Holgu%C3%ADn_y_Caro,https://es.wikipedia.org/wiki/Carlos_Holgu%C3%ADn_Mallarino,venezuela,colombia
https://es.wikipedia.org/wiki/Clemencia_Holgu%C3%ADn_y_Caro,https://es.wikipedia.org/wiki/Margarita_Caro_Tobar,venezuela,colombia
https://es.wikipedia.org/wiki/Clemencia_Holgu%C3%ADn_y_Caro,https://es.wikipedia.org/wiki/Roberto_Urdaneta,venezuela,colombia
https://es.wikipedia.org/wiki/Consuelo_Lleras,https://es.wikipedia.org/wiki/Bertha_Puga,colombia,chile
https://es.wikipedia.org/wiki/Consuelo_Lleras_Puga,https://es.wikipedia.org/wiki/Bertha_Puga,colombia,chile
https://es.wikipedia.org/wiki/Crist%C3%B3bal_de_Vergara_Azc%C3%A1rate,https://es.wikipedia.org/wiki/Francisco_Javier_de_Vergara_Azc%C3%A1rate_Vela_Pati%C3%B1o_y_Sandoval,ecuador,colombia
https://es.wikipedia.org/wiki/Daniel_Ar%C3%A1oz_%28gobernador%29,https://es.wikipedia.org/wiki/Miguel_Ar%C3%A1oz_y_Arce,peru,argentina
https://es.wikipedia.org/wiki/Daniel_Florencio_O%27Leary,https://es.wikipedia.org/wiki/Sim%C3%B3n_O%27Leary_Soublette,colombia,venezuela
