family,stationary_prob,observed_degree_share,cor_stationary_degree
morales_bermúdez,9.2121718311684e-19,0.0024752475247524753,0.030462727188199593
parra_chile,9.2121718311684e-19,0.0024752475247524753,0.030462727188199593
pachón,8.468362544323887e-19,0.0049504950495049506,0.030462727188199593
paz,8.030556128801542e-19,0.007425742574257425,0.030462727188199593
acuña,0,0.0049504950495049506,0.030462727188199593
álvarez_de_toledo_argentina,0,0.0024752475247524753,0.030462727188199593
caballero,0,0.0024752475247524753,0.030462727188199593
cano,0,0.007425742574257425,0.030462727188199593
casas,0,0.0024752475247524753,0.030462727188199593
cayo,0,0.0024752475247524753,0.030462727188199593
díaz_vélez,0,0.0049504950495049506,0.030462727188199593
elías,0,0.007425742574257425,0.030462727188199593
frayssinet,0,0.0024752475247524753,0.030462727188199593
garcía_de_zúñiga,0,0.0024752475247524753,0.030462727188199593
gómez_venezuela,0,0.0024752475247524753,0.030462727188199593
gonzález_de_cosío,0,0.0024752475247524753,0.030462727188199593
graña,0,0.0024752475247524753,0.030462727188199593
málaga,0,0.0049504950495049506,0.030462727188199593
neyra,0,0.0024752475247524753,0.030462727188199593
pellegrini,0,0.0024752475247524753,0.030462727188199593
polar,0,0.0024752475247524753,0.030462727188199593
prado,0,0.0024752475247524753,0.030462727188199593
salazar_y_meléndez,0,0.0024752475247524753,0.030462727188199593
vértiz,0,0.007425742574257425,0.030462727188199593
warnes,0,0.0049504950495049506,0.030462727188199593
yerovi,0,0.0024752475247524753,0.030462727188199593
