familia_grupo,n,mean_degree,sd_degree,mean_between,n_paises,n_bridges_out,n_internal,closure_index,constraint_proxy,reach,country
gildemeister,2,0,0,0,1,0,0,0,0,0,peru
gilinski,3,0.6666666666666666,0.5773502691896258,0,1,0,6,0.9998333611064822,-0,0,colombia
gnecco,20,1.55,1.2343760409722457,3.974999999999999,1,8,66,0.8918798394616289,9.303686366296077,1,colombia
godoy,7,0,0,0,1,0,0,0,0,0,argentina
gonzález-olaechea,5,1.4,1.140175425099138,8.6,1,1,18,0.9473185621809378,30.6049822064057,1,peru
gonzález_de_cosío,12,0.75,0.8660254037844386,2.416666666666667,1,1,18,0.9473185621809378,-26.055705300988322,1,mexico
gonzález_del_valle,4,0,0,0,1,0,0,0,0,0,mexico
gonzález_guevara,3,0,0,0,1,0,0,0,0,0,mexico
gonzález_rojo,3,0.6666666666666666,0.5773502691896258,0,1,0,6,0.9998333611064822,-0,0,mexico
gonzález_torres,6,0.6666666666666666,0.5163977794943223,0,1,0,12,0.9999166736105325,-0,0,mexico
gonzález_vigil,5,0,0,0,1,0,0,0,0,0,peru
gorriti,5,0.4,0.894427190999916,0,3,2,0,0,-0,1,argentina
grau,6,1,0.8944271909999159,0.6666666666666667,2,0,14,0.9999285765302479,666.6666666666667,0,peru
graña,7,0.7142857142857143,1.1126972805283737,4.142857142857143,1,1,12,0.9230059226213368,-41.001817814582914,1,peru
groot,11,1.4545454545454546,0.6875516509523286,4.636363636363637,1,2,42,0.9545237608236177,13.982702325465466,2,colombia
guarello,6,0.6666666666666667,0.816496580927726,0.16666666666666669,1,0,10,0.9999000099990002,-1.5136226034308782,0,chile
guerrero,8,2,1.5118578920369088,1,1,0,24,0.999958335069372,0.9990009990009991,0,mexico
guevara,8,3.5,1.4142135623730951,1.75,2,0,52,0.9999807696005847,0.399908592321755,0,argentina
guilisasti,3,0,0,0,1,0,0,0,0,0,chile
guillermoprieto,2,0,0,0,1,0,0,0,0,0,mexico
gutiérrez_díaz,4,1.75,1.707825127659933,12.666666666666668,1,6,10,0.6249609399412537,19.272220109040195,1,colombia
gutiérrez_nájera,3,1.3333333333333333,0.5773502691896257,0.33333333333333337,1,0,10,0.9999000099990002,1.4932802389248387,0,mexico
gutiérrez_zamora,2,0,0,0,1,0,0,0,0,0,mexico
guzmán,1,0,,0,1,0,0,0,0,0,mexico
guízar,10,0,0,0,2,0,0,0,0,0,mexico
gálvez,10,0.8,1.0327955589886446,0.8,1,0,24,0.999958335069372,-10.126582278481015,0,peru
gómez,13,2,1.8708286933869707,2.6923076923076925,1,0,62,0.9999838712278835,2.6896180742334592,0,colombia
gómez-mont,5,1.2,1.0954451150103324,0.6,1,0,18,0.9999444475306927,4.9586776859504145,0,mexico
gómez-robledo,3,0,0,0,1,0,0,0,0,0,mexico
gómez-urquíza,1,0,,0,1,0,0,0,0,0,mexico
gómez_farías,3,1,0,0,1,1,6,0.857020425653478,0,1,mexico
gómez_maganda,2,1,0,0,1,0,6,0.9998333611064822,0,0,mexico
gómez_martínez,3,1.6666666666666667,0.5773502691896257,4.333333333333333,1,1,12,0.9230059226213368,7.785985226592132,1,colombia
gómez_venezuela,5,1,0.7071067811865476,0.2,1,1,12,0.9230059226213368,200,1,venezuela
