family,block,K_selected,entropy.x,country,icl,bic,entropy.y
belaúnde,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
belgrano,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
bello,2,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
bemberg,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
benavides_chile,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
benavides_perú,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
benegas,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
berckemeyer,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
berrío,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
bichir,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
bielsa,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
billinghurst,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
bitar,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
blanco,1,2,512.0424614125509,uruguay,4987.040832507677,3962.955909682575,512.0424614125509
blanco_venezuela,1,2,512.0424614125509,venezuela,4987.040832507677,3962.955909682575,512.0424614125509
blaquier,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
bodega_y_quadra,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
bolaños_cacho,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
bolognesi,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
bolívar,1,2,512.0424614125509,venezuela,4987.040832507677,3962.955909682575,512.0424614125509
bordaberry,1,2,512.0424614125509,uruguay,4987.040832507677,3962.955909682575,512.0424614125509
borensztein,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
boric,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
borja,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
borrero,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
botana,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
boulton_venezuela,1,2,512.0424614125509,venezuela,4987.040832507677,3962.955909682575,512.0424614125509
boza_de_lima,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
bracho,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
braun,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
brescia,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
brigard,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
brown,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
bulgheroni,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
bullrich,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
bulnes,2,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
bunge,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
bunster,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
bustamante,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
cabal,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
caballero,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
cabello,1,2,512.0424614125509,venezuela,4987.040832507677,3962.955909682575,512.0424614125509
cafferata,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
cafiero,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
caicedo,2,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
calderón_colombia,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
calderón_hinojosa,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
camacho,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
camargo,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
cambaceres,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
campero,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
canaveris,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
candioti,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
cano,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
cantilo,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
cantoni-bravo,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
capetillo,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
capriles,1,2,512.0424614125509,venezuela,4987.040832507677,3962.955909682575,512.0424614125509
caputo,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
caro,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
carranza,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
carreño,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
carrillo_de_albornoz,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
carrizosa,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
carvajal,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
carvajal_y_vargas,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
casares,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
casas,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
castaño_gil,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
castelli,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
castillo_guevara,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
castro_taboada,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
cavada,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
cayo,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
cerrón,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
chadwick,2,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
char,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
chaux,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
checa,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
chirinos,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
choquehuanca,1,2,512.0424614125509,bolivia,4987.040832507677,3962.955909682575,512.0424614125509
