url,coordinator,consultant,gatekeeper,representative,liaison,nombre,familia,pais,total_brokerage,norm_coordinator,norm_consultant,norm_gatekeeper,norm_representative,norm_liaison
https://es.wikipedia.org/wiki/Alberto_Mu%C3%B1oz_Vernaza,0,0,0,0,0,Alberto Muñoz Vernaza,borrero,ecuador,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Pumarejo,0,0,0,0,0,Alberto Pumarejo,pumarejo,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Rey_de_Castro_y_Roma%C3%B1a,0,0,0,0,0,Alberto Rey de Castro y Romaña,bustamante,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Soto_de_la_Jara,6,0,0,0,0,Alberto Soto de la Jara,polar,peru,6,1,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Ulloa_Cisneros,2,0,2,0,0,Alberto Ulloa Cisneros,cisneros,peru,4,0.5,0,0.5,0,0
https://es.wikipedia.org/wiki/Alberto_Ulloa_Sotomayor,2,0,0,0,0,Alberto Ulloa Sotomayor,cisneros,peru,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Uribe_Sierra,2,0,0,0,0,Alberto Uribe Sierra,uribe,colombia,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Uribe_Urdaneta,0,0,0,0,0,Alberto Uribe Urdaneta,restrepo,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Vial_Infante,0,0,0,0,0,Alberto Vial Infante,vial,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Villamizar,0,0,1,1,0,Alberto Villamizar,pachón,colombia,2,0,0,0.5,0.5,0
https://es.wikipedia.org/wiki/Alberto_Williams,0,0,0,0,0,Alberto Williams,bunge,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_de_Bela%C3%BAnde,0,0,0,0,0,Alberto de Belaúnde,belaúnde,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_de_Belaunde,0,0,0,0,0,Alberto de Belaúnde,belaúnde,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Aldo_Mari%C3%A1tegui,0,0,0,0,0,Aldo Mariátegui,mariátegui,peru,0,0,0,0,0,0
