family,degree,coreness,in_3_core,in_4_core,core_score,be_fit_global
cházaro,0,0,FALSE,FALSE,8.61459710155628e-49,0.19806993296305744
cisneros,3,1,FALSE,FALSE,1.4498671723457527e-48,0.19806993296305744
cisneros_venezuela,1,1,FALSE,FALSE,3.345769840535839e-49,0.19806993296305744
claro_chile,7,2,FALSE,FALSE,0.17687790141385978,0.19806993296305744
cock,0,0,FALSE,FALSE,1.5361147973569607e-49,0.19806993296305744
concha,0,0,FALSE,FALSE,5.9288249235414974e-49,0.19806993296305744
concha_chile,5,2,FALSE,FALSE,0.16756671100075382,0.19806993296305744
coni,0,0,FALSE,FALSE,8.566503314530307e-49,0.19806993296305744
copello,0,0,FALSE,FALSE,5.5247288096708246e-49,0.19806993296305744
corcuera,0,0,FALSE,FALSE,1.4382676370573972e-48,0.19806993296305744
cordovéz,1,1,FALSE,FALSE,1.106400662636887e-25,0.19806993296305744
cornejo_argentina,0,0,FALSE,FALSE,2.140020011606843e-49,0.19806993296305744
coronel_méxico,0,0,FALSE,FALSE,2.760903157500258e-49,0.19806993296305744
cortés_de_monroy,2,1,FALSE,FALSE,7.189662241216604e-49,0.19806993296305744
cousiño,0,0,FALSE,FALSE,4.661944131380473e-49,0.19806993296305744
creel-terrazas,0,0,FALSE,FALSE,1.0009035642610644e-48,0.19806993296305744
cruz-coke,1,1,FALSE,FALSE,0.12201937226836984,0.19806993296305744
cruz_chile,5,2,FALSE,FALSE,0.49596111069379784,0.19806993296305744
cruzat,0,0,FALSE,FALSE,1.7727695383676544e-48,0.19806993296305744
cuervo,0,0,FALSE,FALSE,1.8131895278651377e-48,0.19806993296305744
cueto,1,1,FALSE,FALSE,0.015035420160076194,0.19806993296305744
cueto_caballero,0,0,FALSE,FALSE,5.816219728777735e-49,0.19806993296305744
cullen,0,0,FALSE,FALSE,1.3125654833934084e-48,0.19806993296305744
cáceres_velásquez,0,0,FALSE,FALSE,9.449847291934458e-49,0.19806993296305744
cámpora,0,0,FALSE,FALSE,7.737308309400142e-49,0.19806993296305744
cárdenas,0,0,FALSE,FALSE,2.6347538423045555e-49,0.19806993296305744
daract,0,0,FALSE,FALSE,1.4141841862438674e-48,0.19806993296305744
de_greiff,0,0,FALSE,FALSE,1.3903334079896854e-48,0.19806993296305744
de_habich,1,1,FALSE,FALSE,4.568027595836901e-49,0.19806993296305744
de_la_espriella,0,0,FALSE,FALSE,4.768972945562347e-50,0.19806993296305744
de_la_puente,0,0,FALSE,FALSE,1.1089023631320134e-48,0.19806993296305744
de_la_rúa,0,0,FALSE,FALSE,9.85117748823669e-49,0.19806993296305744
de_la_torre,0,0,FALSE,FALSE,2.8725058405799564e-49,0.19806993296305744
de_los_heros,0,0,FALSE,FALSE,2.0650872960275892e-50,0.19806993296305744
de_rosenzweig_díaz,0,0,FALSE,FALSE,2.6537546925456325e-50,0.19806993296305744
de_solminihac,0,0,FALSE,FALSE,1.735629197973825e-48,0.19806993296305744
de_valverde,0,0,FALSE,FALSE,1.2816015933750496e-48,0.19806993296305744
del_carril,2,2,FALSE,FALSE,0.047609307280533815,0.19806993296305744
del_mazo,1,1,FALSE,FALSE,1.1373729295037996e-5,0.19806993296305744
del_río,0,0,FALSE,FALSE,1.9059879602493803e-48,0.19806993296305744
del_río_chile,0,0,FALSE,FALSE,5.6796712232043056e-49,0.19806993296305744
del_solar,2,1,FALSE,FALSE,9.131034438360616e-18,0.19806993296305744
delgado_parker,0,0,FALSE,FALSE,2.7777187185833455e-49,0.19806993296305744
denegri,0,0,FALSE,FALSE,2.1928622421958636e-49,0.19806993296305744
derbez,0,0,FALSE,FALSE,6.987374280024214e-49,0.19806993296305744
di_girolamo,4,1,FALSE,FALSE,6.552123114623103e-4,0.19806993296305744
di_palma,0,0,FALSE,FALSE,1.382278148953049e-48,0.19806993296305744
di_tella,0,0,FALSE,FALSE,4.515710879698099e-49,0.19806993296305744
dibós,0,0,FALSE,FALSE,9.080101743573258e-49,0.19806993296305744
diez_canseco,2,1,FALSE,FALSE,1.8829091987879428e-48,0.19806993296305744
dosamantes_rul,0,0,FALSE,FALSE,2.0543108787603777e-49,0.19806993296305744
drago,0,0,FALSE,FALSE,1.12790717986668e-49,0.19806993296305744
duque,0,0,FALSE,FALSE,1.4752947964012674e-49,0.19806993296305744
durand,0,0,FALSE,FALSE,1.6453918511261261e-49,0.19806993296305744
durand_argentina,0,0,FALSE,FALSE,1.3792741548594972e-49,0.19806993296305744
durán_colombia,1,1,FALSE,FALSE,2.3475711854448764e-36,0.19806993296305744
durán_reveles,0,0,FALSE,FALSE,1.5533244798759844e-49,0.19806993296305744
dávila,0,0,FALSE,FALSE,7.403638169186882e-49,0.19806993296305744
díaz,0,0,FALSE,FALSE,1.6513846167658026e-48,0.19806993296305744
díaz_ceballos,2,1,FALSE,FALSE,3.8280193816626795e-18,0.19806993296305744
díaz_de_león,0,0,FALSE,FALSE,1.850283041839022e-48,0.19806993296305744
díaz_del_castillo,0,0,FALSE,FALSE,2.0126195146263746e-49,0.19806993296305744
díaz_granados,0,0,FALSE,FALSE,1.1547100089751782e-48,0.19806993296305744
díaz_infante,0,0,FALSE,FALSE,1.9317991740738172e-48,0.19806993296305744
díaz_lombardo,1,1,FALSE,FALSE,1.7026149787105435e-48,0.19806993296305744
díaz_ordaz,3,1,FALSE,FALSE,1.4617611653221718e-17,0.19806993296305744
díaz_vélez,2,1,FALSE,FALSE,2.788362555440352e-48,0.19806993296305744
díez_marina,1,1,FALSE,FALSE,3.596313822859598e-18,0.19806993296305744
eastman,0,0,FALSE,FALSE,4.113626907174013e-49,0.19806993296305744
echagüe,0,0,FALSE,FALSE,4.1317275300065344e-49,0.19806993296305744
echandía,0,0,FALSE,FALSE,2.4419398100746473e-48,0.19806993296305744
echaurren,2,1,FALSE,FALSE,0.00750894558883197,0.19806993296305744
echavarría,0,0,FALSE,FALSE,2.985442346092152e-49,0.19806993296305744
echenique,3,1,FALSE,FALSE,3.9962975053591495e-6,0.19806993296305744
