Banda,Título,Letra,Link
José José,Amnesia,"Usted me cuenta que nosotros dos


Fuimos amantes


Y que llegamos juntos a vivir


Algo importante


Me temo que lo suyo es un error


Yo estoy desde hace tiempo sin amor


Y el último que tuve fue un borrón


En mi cuaderno


Usted me cuenta que hasta le rogué


Que no se fuera


Y que su adiós dejó a mi corazón


Sin primavera


Que anduve por ahí de bar en bar


Llorando sin podérmela olvidar


Gastándome la piel en recordar


Su juramento


Perdón, no la quisiera lastimar


Tal vez, lo que me cuenta sea verdad


Lamento contrariarla, pero yo


No la recuerdo


Que anduve por ahí de bar en bar


Llorando sin podérmela olvidar


Gastándome la piel en recordar


Su juramento


Perdón, no la quisiera lastimar


Tal vez, lo que me cuenta sea verdad


Lamento contrariarla, pero yo


No la recuerdo",https://www.letras.com//jose-jose/135205/
José José,Amor,"Amor, es lo que siente la gente


Cuando se enamora


Yo lo siento ahora, en el


Corazón


Por ti, por ti, por ti


Amor es lo que todo lo puede estando a tu lado


Ya me has confesado, que también me quieres


Amor, lo que yo siento al mirarte


Lo que yo siento al hablarte


Lo que por ti yo he sentido


Desde aquel momento


En que me miraste


Y que no me deja vivir sin ti


Amor, es lo que siente la gente, cuando se enamora


Yo lo siento ahora, en el corazón


Por ti, por ti, por ti, amor


Por ti, por ti, por ti, amor",https://www.letras.com//jose-jose/amor/
José José,Amor Amor,"¿Dónde está el amor?


¿Alguien lo ha encontrado?


Por favor, oh no


¿Dónde puede ir?


Puede estar herido


Pero no morir


Puede estar cansado


Puede estar encadenado


O quizás esté dormido


A la sombra de un olvido


Amor, amor


Que te pintas de cualquier color


Tan profundo como el viento


Tan lejano como el tiempo


Y tan cierto como el Sol


Amor, amor


Si me escuchas y me puedes ver


No me cierres tu guarida


Llena un poco de mi vida


Llena un poco de mi ser


¿Dónde puede estar


El amor que un día


Se llevó la mar?


¿Cuándo volverá?


Puede que no vuelva


Nunca más, quizás


Puede estar perdido


Puede estar desfallecido


O quizás esté sentado


A la puerta del pasado


Amor, amor


Que te pintas de cualquier color


Tan profundo como el viento


Tan lejano como el tiempo


Y tan cierto como el Sol


Amor, amor


Si me escuchas y me puedes ver


No me cierres tu guarida


Llena un poco de mi vida


Llena un poco de mi ser


Amor, amor


Que te pintas de cualquier color


Tan profundo como el viento


Tan lejano como el tiempo


Y tan cierto como el Sol


Amor, amor


Si me escuchas y me puedes ver


No me cierres tu guarida


Llena un poco de mi vida


Llena un poco de mi ser",https://www.letras.com//jose-jose/135206/
José José,Amor de Discoteque,"Te encontré una vez


Bailando sola en una discoteque


Y no sé por qué me enamoré de ti


Y de tu forma de bailar


Cuando te miré


Tus grandes ojos me hicieron vibrar


Y no pude hablar parado me quedé


A media pista, sin saber que hacer


A la chica que venía conmigo


Sola la dejé, ya no supe más


Tomé tus manos y empezamos a bailar


A bailar


Un poco después


Salimos juntos de la discoteque


Fuimos a cenar y platicando


Fue así como empezó nuestro querer


Pronto descubrí


Que eres la chica para quien nací


Lo supe muy bien


Pues nunca antes había sentido lo que ahí sentí


La cuenta pagué


Y abandonamos el lugar aquel


Para caminar, pues esa noche


Era perfecta para amar


Al llegar a un parque


Nos sentamos y tu mano yo tomé


Luego te abracé y por primera vez


Con fuerza te besé, te besé


Fue después de un mes


Que te pedí que fueras mi mujer


Dijiste que sí y nos casamos


Allá en aquella discoteque


Donde te conocí


Donde me enamoré de ti


En la discoteque


Donde te conocí


En la discoteque


Donde me enamoré de ti",https://www.letras.com//jose-jose/amor-de-discoteque/
José José,Amor Lo Que Se Dice,"Recordarás mi casa amor


Y llamarás corriendo


Vendrás a huir del ruido amor


Y te daré silencio


Me dejarás que cuide de ti


Como a un pequeño siervo


Y que te dé cobijo y amor


Y un sitio en mi brasero


Y una mirada dulce


Una caricia


Un beso


Porque amor lo que se dice amor


Amor lo que se dice amor


Amor lo que se dice amor


Es poco más o menos eso


Y cuando tengas pan de mi pan


Y sal de mi salero


Te sentirás agusto amor


Y me dirás te quiero


Y cuando quieras irte amor


Te abrigaré primero


Y te daré mi llave amor


Y luz en el sendero


Y una mirada suave


Una caricia


Un beso


Porque amor lo que se dice amor


Amor lo que se dice amor


Amor lo que se dice amor


Es poco más o menos eso",https://www.letras.com//jose-jose/amor-lo-que-se-dice/
José José,Amor Mio,"Amor mío


Tu rostro querido no sabe guardar secretos de amor


Ya me dijo que estoy en la gloria de tu intimidad


No hace falta decir que me quieres


No me vuelvas loco con esta verdad


No lo digas, no me hagas que llore de felicidad


Cuanta envidia se va a despertar


Cuantos ojos nos van a mirar


La alegría de todas mis horas


Prefiero pasarlas en la intimidad


Olvidaba decir que te amo


Con todas las fuerzas que el alma me da


Quién no ha amado que no diga nunca que vivió jamás


Cuanta envidia se va a despertar


Cuantos ojos nos van a mirar


La alegría de todas mis horas


Prefiero pasarlas en la intimidad


Olvidaba decir que te amo


Con todas las fuerzas que el alma me da


Quién no ha amado que no diga nunca que vivió jamás",https://www.letras.com//jose-jose/amor-mio/
José José,Amor Para Los Dos,"Fue una noche tibia cuando yo te conocí


Y desde aquel instante yo me enamoré de ti


Hiciste que brotara en medio de mi corazón un gran amor para los dos


Estabas tan preciosa


Que no me atreví a contemplar tu linda cara y tu boca de rubí


Tus ojos que brillaban como la Luna en el mar


Decían que me querías igual


Con todas esas cosas tan hermosas que bien sabes significas para mí


Puedes estar segura que todo mi cariño es para ti


Fue una noche tibia cuando yo te conocí


Y desde aquel instante yo me enamoré de ti


Tus ojos que brillaban como la Luna en el mar


Decían que me querías igual",https://www.letras.com//jose-jose/amor-para-los-dos/
José José,Antes,"Antes


De que el mundo se formara


Y que el pájaro cantara


Ya te esperaba


Antes


Del perfume de las rosas


Y de tantas tantas cosas


Ya te esperaba


Antes


Que en tu pecho emocionado


Un relámpago encantado te iluminara


Ya te esperaba


Antes


Que tu nombre yo supiera


Y sin verte te quisiera


Ya te esperaba


Antes


Que tus labios yo besara


Y tu cuerpo yo estrechara


Ya te esperaba


Antes


De que el pájaro cantara


Y que el mundo se formara


Ya te esperaba


Antes


Que tu nombre yo supiera


Y sin verte te quisiera


Ya te esperaba


Antes


De que el pájaro cantara


Y que el mundo se formara


Ya te esperaba


Antes


Del perfume de las rosas


Y de tantas tantas cosas


Ya te esperaba


Antes


De que el pájaro cantara


Y que el mundo se formara


Ya te esperaba


Antes, antes


Antes",https://www.letras.com//jose-jose/antes/
José José,Aqui Estoy Yo,"Por el camino que tú vayas a seguir


Que tengas suerte y que seas muy feliz


Que tengas paz y algo más


Que triunfes tú


Que todo siempre te sonría sin cesar


Que, donde estés, de mí te puedas acordar


Que aquí estoy yo


Deseándote felicidad


Si alguna ves en tu camino por vivir


Triunfa la dicha que te embarga solo a ti


Si en esa forma tú has llegado a ser feliz


También lo soy


Si por razones tú llegaras a sufrir


En el camino que trazaste para ti


Recuerda siempre que yo solo me quedé


Pensando en ti


Si alguna ves en tu camino por vivir


Triunfa la dicha que te embarga solo a ti


Si en esa forma tú has llegado a ser feliz


También lo soy


Si por razones tú llegaras a sufrir


En el camino que trazaste para ti


Recuerda siempre que yo solo me quedé


Pensando en ti


Pensando solo en ti",https://www.letras.com//jose-jose/aqui-estoy-yo/
José José,Así de Fácil,"Un buen día, me iré para nunca volver


Y me vas a perder, así de fácil


Ese día vendrá, que me vas a cansar


Y te voy a dejar, así de fácil


Hasta ahora, mi amor, me ha faltado coraje


Para salir corriendo


Hasta ahora, mi amor, he tenido valor


Para vivir sufriendo


Un buen día me iré, cuando sepa que yo


Viviré sin tu amor, así de fácil


Ese día vendrá, cuando nada de ti


Pueda hacerme sufrir, así de fácil


Hasta ahora, mi amor, me ha faltado coraje


Para salir corriendo


Hasta ahora, mi amor, he tenido valor


Para vivir sufriendo


Un buen día me iré y me vas a extrañar


Y me vas a llorar, así de fácil


Ese día será cuando sepas que yo


He encontrado otro amor, así de fácil


Hasta ahora, mi amor, me ha faltado coraje


Para salir corriendo


Hasta ahora, mi amor, he tenido valor


Para vivir sufriendo",https://www.letras.com//jose-jose/asi-de-facil/
