pair_a,pair_b,weight
Cruz,Delfina,1
Cruz,Fabio,1
Cruz,Feliú,1
Cruz,Manuel,1
Cruz,Pinto,1
Cruz,Prieto,1
Cruz,Vergara,1
CruzCoke,Luciano,1
CruzCoke,Ossa,1
Cruzat,Guzmán,1
Cruzat,Hurtado,1
Cruzat,Solar,1
Cubillos,Hernán,1
Cubillos,Marcela,1
Cueto,Sierra,1
Decombe,Edwards,1
Demetrio,OHiggins,1
Ducci,Mercedes,1
Duvauchelle,Elena,1
Duvauchelle,Jung,1
Dávalos,Sebastián,1
Echaurren,González,1
Echaurren,Larraín,1
Echaurren,Pablo,1
Echaurren,Plaza,1
Echaurren,Prieto,1
Echaurren,Valero,1
Echenique,Miguel,1
Echenique,Piñera,1
Echenique,Rufino,1
Eduardo,Yrarrázaval,1
Edwards,Emilio,1
Edwards,Familia,1
Edwards,Izquierdo,1
Edwards,Rojo,1
Edwards,Vives,1
Eguiguren,Errázuriz,1
Errazuriz,Laso,1
Errázuriz,Familia,1
Errázuriz,Felipe,1
Errázuriz,González,1
Errázuriz,Guilisasti,1
Errázuriz,ISch,1
Errázuriz,Isidoro,1
Errázuriz,Josefa,1
Errázuriz,León,1
Errázuriz,Lo,1
Errázuriz,Mackenna,1
Errázuriz,Ossa,1
Errázuriz,Pablo,1
Errázuriz,Paz,1
Errázuriz,Pérez,1
Errázuriz,Ramón,1
Errázuriz,RuizTagle,1
Errázuriz,Sotomayor,1
Errázuriz,Subercaseaux,1
Errázuriz,Tagle,1
Errázuriz,Talavera,1
Errázuriz,Tomás,1
Errázuriz,Urmeneta,1
Errázuriz,Vergara,1
Errázuriz,Virginia,1
Etcheberry,Javier,1
Eugenia,Hirmas,1
Felipe,Ward,1
Feliú,Manuel,1
Feliú,Olga,1
Fernández,Henestrosa,1
Fernández,Luisa,1
Fernández,Mariano,1
Fernández,Patricio,1
Fernández,Villaverde,1
FernándezVillaverde,José,1
FerreiraNobriga,Fontaine,1
Fontaine,Talavera,1
Francisca,Merino,1
Francisco,Maza,1
Francisco,Prat,1
García,Sofía,1
Garmendia,Luisa,1
Godofredo,Iommi,1
Gonzalo,Lama,1
Gonzalo,Winter,1
Gordon,MattaClark,1
Goyenechea,Isidora,1
Guzmán,Jaime,1
Henestrosa,Salabert,1
Hernán,Solminihac,1
Hevia,Isaac,1
Huidobro,Vicente,1
Hurtado,Prieto,1
Ignacio,Sabatini,1
Ignacio,Walker,1
Iommi,Virginia,1
Isabel,Riquelme,1
Isabel,Silva,1
Isla,Jéchica,1
Iver,Mac,1
Jiménez,Lobatón,1
John,Saulles,1
Jorge,Prat,1
Josefina,Montané,1
José,Ossa,1
José,Prieto,1
José,Yrarrázaval,1
Julio,Jung,1
Juvencio,Valle,1
Larraín,Manuel,1
Larraín,Rafael,1
Lawner,Miguel,1
Lazcano,Mujica,1
Leonor,Oyarzún,1
León,Quiñones,1
Loreto,Valenzuela,1
Luis,Subercaseaux,1
