nombre,url,pais_familia,pais_nacionalidad,tipo_caso,ocupacion,cargos_politicos
Jacinto Videla,https://es.wikipedia.org/wiki/Jacinto_Videla,Chile,Argentina,Argentino en familia chilena,NA,NA
Jorge Rafael Videla,https://es.wikipedia.org/wiki/Jorge_Rafael_Videla,Chile,Argentina,Argentino en familia chilena,NA,Crimen de lesa humanidad
Juan de Dios Videla,https://es.wikipedia.org/wiki/Juan_de_Dios_Videla,Chile,Argentina,Argentino en familia chilena,Militar,NA
Luis Videla,https://es.wikipedia.org/wiki/Luis_Videla,Chile,Argentina,Argentino en familia chilena,Militar,NA
Mario Videla,https://es.wikipedia.org/wiki/Mario_Videla,Chile,Argentina,Argentino en familia chilena,"Organista , clavecinista y flautista",NA
Ricardo Videla,https://es.wikipedia.org/wiki/Ricardo_Videla,Chile,Argentina,Argentino en familia chilena,"Ingeniero , historiador y político",NA
Octavio Campero Echazú,https://es.wikipedia.org/wiki/Octavio_Campero_Echaz%C3%BA,Argentina,Chile,Chileno en familia argentina,Escritor y poeta,NA
Vicente Francisco del Sol y Veyán,https://es.wikipedia.org/wiki/Vicente_Francisco_del_Sol_y_Vey%C3%A1n,Argentina,Chile,Chileno en familia argentina,Diplomático,Cónsul general
Cecilia Bolocco,https://es.wikipedia.org/wiki/Cecilia_Bolocco,Argentina,Chile,Chileno en familia argentina,"Miss Universo 1987 , presentadora de televisión , actriz , modelo , diseñadora de moda y activista contra el cáncer",NA
Delia del Carril,https://es.wikipedia.org/wiki/Delia_del_Carril,Argentina,Chile,Chileno en familia argentina,"Grabadora , pintora , dibujante",NA
Pablo Neruda,https://es.wikipedia.org/wiki/Pablo_Neruda,Argentina,Chile,Chileno en familia argentina,"Poeta , escritor , diplomático y político",NA
Maria Antonia Hagenaar,https://es.wikipedia.org/wiki/Mar%C3%ADa_Antonia_Hagenaar_Vogelzang,Argentina,Chile,Chileno en familia argentina,NA,NA
Matilde Urrutia,https://es.wikipedia.org/wiki/Matilde_Urrutia,Argentina,Chile,Chileno en familia argentina,Cantante,NA
Manuel Joaquín de Valdivieso,https://es.wikipedia.org/wiki/Manuel_Joaqu%C3%ADn_de_Valdivieso,Argentina,Chile,Chileno en familia argentina,Político y abogado,Diputado de Chile
José Antonio de Lavalle,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_de_Lavalle,Argentina,Chile,Chileno en familia argentina,"Historiador, literato, diplomático, político",NA
