pais,nombre,url,grado,betweenness,ranking
uruguay,Jorge Batlle,https://es.wikipedia.org/wiki/Jorge_Batlle,2,1,13
uruguay,Mercedes Menafra,https://es.wikipedia.org/wiki/Mercedes_Menafra,2,1,14
uruguay,Lorenzo Batlle,https://es.wikipedia.org/wiki/Lorenzo_Batlle,2,2.5,15
uruguay,César Batlle Pacheco,https://es.wikipedia.org/wiki/C%C3%A9sar_Batlle_Pacheco,2,0,16
uruguay,Lorenzo Batlle Pacheco,https://es.wikipedia.org/wiki/Lorenzo_Batlle_Pacheco,2,0,17
uruguay,Rafael Batlle Pacheco,https://es.wikipedia.org/wiki/Rafael_Batlle_Pacheco,2,0,18
uruguay,Josep Batlle i Carreó,https://es.wikipedia.org/wiki/Jos%C3%A9_Batlle_y_Carre%C3%B3,2,1,19
uruguay,Daniel Blanco Acevedo,https://es.wikipedia.org/wiki/Daniel_Blanco_Acevedo,2,4,20
uruguay,Pedro Bordaberry,https://es.wikipedia.org/wiki/Pedro_Bordaberry,2,0,21
uruguay,Raúl Fontaina D'Oliveira,https://es.wikipedia.org/wiki/Ra%C3%BAl_Fontaina_D%27Oliveira,2,1,22
uruguay,Carlos Scheck,https://es.wikipedia.org/wiki/Carlos_Scheck,2,1,23
uruguay,Villanueva Saravia,https://es.wikipedia.org/wiki/Villanueva_Saravia,2,3,24
venezuela,Elena Frías de Chávez,https://es.wikipedia.org/wiki/Elena_Fr%C3%ADas_de_Ch%C3%A1vez,9,28.666666666666668,1
venezuela,Hugo de los Reyes Chávez,https://es.wikipedia.org/wiki/Hugo_de_los_Reyes_Ch%C3%A1vez,9,28.666666666666668,2
venezuela,Hugo Chávez,https://es.wikipedia.org/wiki/Hugo_Ch%C3%A1vez,7,28.5,3
venezuela,Hugo Chávez,https://es.wikipedia.org/wiki/Hugo_Ch%C3%A1vez_Fr%C3%ADas,6,18,4
venezuela,María de la Concepción Palacios y Blanco,https://es.wikipedia.org/wiki/Mar%C3%ADa_de_la_Concepci%C3%B3n_Palacios_y_Blanco,5,30,5
venezuela,Juan Vicente Bolívar y Ponte,https://es.wikipedia.org/wiki/Juan_Vicente_Bol%C3%ADvar_y_Ponte,5,16,6
venezuela,María Gabriela Chávez,https://es.wikipedia.org/wiki/Mar%C3%ADa_Gabriela_Ch%C3%A1vez,4,1.6666666666666667,7
venezuela,Eduardo López Rivas,https://es.wikipedia.org/wiki/Eduardo_L%C3%B3pez_Rivas,3,5,8
venezuela,Juan Vicente Bolívar Palacios,https://es.wikipedia.org/wiki/Juan_Vicente_Bol%C3%ADvar_Palacios,3,10,9
venezuela,Juana Bolívar Palacios,https://es.wikipedia.org/wiki/Juana_Bol%C3%ADvar_Palacios,3,10,10
venezuela,María Antonia Bolívar Palacios,https://es.wikipedia.org/wiki/Mar%C3%ADa_Antonia_Bol%C3%ADvar_Palacios,3,10,11
venezuela,Feliciano Palacios y Sojo,https://es.wikipedia.org/wiki/Feliciano_Palacios_y_Sojo,3,19,12
venezuela,Daniella Cabello,https://es.wikipedia.org/wiki/Daniella_Cabello,3,2,13
venezuela,Foción Febres-Cordero,https://es.wikipedia.org/wiki/Foci%C3%B3n_Febres-Cordero,3,3,14
venezuela,José Tadeo Monagas,https://es.wikipedia.org/wiki/Jos%C3%A9_Tadeo_Monagas,3,5,15
venezuela,Rosinés Chávez,https://es.wikipedia.org/wiki/Rosin%C3%A9s_Ch%C3%A1vez,3,0.16666666666666666,16
venezuela,Marisabel Rodríguez,https://es.wikipedia.org/wiki/Marisabel_Rodr%C3%ADguez,3,0.16666666666666666,17
venezuela,Nancy Colmenares,https://es.wikipedia.org/wiki/Nancy_Colmenares,3,0.16666666666666666,18
