fam1,n_sucesiones,miembros,paises
creel-terrazas,2,Enrique C. Creel | Luis Terrazas,mexico
elmore,2,Alberto Elmore | Juan Federico Elmore,peru
freundt,2,Alberto Freundt Rosell | Alejandro Freundt Rosell,peru
garcía_calderón,2,Francisco García-Calderón Rey | Ventura García Calderón,peru
garza_sada,2,Eugenio Garza Lagüera | Eugenio Garza Sada,mexico
gonzález_torres,2,Jorge Emilio González Martínez | Jorge González Torres,mexico
humala,2,Ollanta Humala | Nadine Heredia,peru
hurtado,2,Eliseo Payán | Ezequiel Hurtado,colombia
leyva,2,Antonio Sebastián de Toledo Molina y Salazar | Pedro de Toledo y Leiva,colombia
mateos,2,Francisco Zarco | Ignacio Ramírez,mexico
matte,2,Carmen Ibáñez | Joaquín Godoy Ibáñez,chile
monckeberg,2,Nicolás Monckeberg | Sergio Urrejola,chile
montt,2,Lorenzo Montt | Alberto Montt Montt,chile
ortiz_mena,2,Patrocinio González Garrido | Salomón González Blanco,mexico
piraquive,2,Luis Eduardo Moreno | María Luisa Piraquive,colombia
puch,2,Dionisio Puch | Martín Güemes y Puch,argentina
slim,2,Carlos Slim | Carlos Slim Domit,mexico
snopek,2,Carlos Snopek | Guillermo Snopek (padre) | Guillermo Eugenio Snopek,argentina
sánchez_de_bustamante,2,Plácido Sánchez de Bustamante | Roque Alvarado,argentina
tohá,2,Jaime Tohá | María Soledad Tohá,chile
vergara-azcárate,2,Alonso Turrillo de Yebra | Antonio de Vergara Azcárate,colombia
walker_chile,2,Matías Walker | Patricio Walker,chile
amunátegui,1,Domingo Amunátegui | Gregorio Amunátegui Solar,chile
blanco_venezuela,1,Antonio Guzmán Blanco | Antonio Leocadio Guzmán,"colombia, venezuela"
bulnes,1,Mercedes Bulnes | Roberto Celedón Fernández,chile
cortés_de_monroy,1,Pedro Cortés y Mendoza | Pedro Cortés de Monroy y Zavala,chile
fujimori,1,Susana Higuchi | Keiko Fujimori,peru
garcía-huidobro,1,Ramón García Huidobro | Luis García Huidobro Aldunate,chile
gómez,1,Álvaro Gómez Hurtado | Miguel Gómez Martínez,colombia
gómez_martínez,1,Ana Mercedes Gómez | Juan Gómez Martínez,colombia
larco,1,Guillermo Larco Cox | Víctor Larco Herrera,peru
lebaron,1,Joel LeBaron | Ervil LeBaron,mexico
posse,1,José Posse | Wenceslao Posse,argentina
quispe_palomino,1,Florabel Vargas | Jorge Quispe Palomino,peru
rodríguez_pastor,1,Carlos Rodríguez Pastor Persivale | Carlos Rodríguez Pastor Mendoza,peru
romero_feris,1,Gabriel Feris | José Antonio Romero Feris,argentina
salazar_y_muñatones,1,José Cabero y Salazar | Andrés de Salazar y Muñatones,peru
tito,1,Alonso de Castilla Tito Atauchi Inca | Alonso Tito Atauchi,peru
valdés_chile,1,Ramón Barros Luco | José Miguel Valdés Carrera,chile
vargas_llosa,1,Tamara Falcó | Carlos Falcó,peru
yoma,1,Zulema Fátima Yoma | Zulema Menem,argentina
