fam_min,fam_max,total,matrimonios,filiacion,pais_fam1,pais_fam2
farías,madero,1,0,1,mexico,mexico
febres-cordero,fontaine,1,1,0,venezuela,chile
garcía-huidobro,rojas,1,1,0,chile,colombia
garcía-mansilla,rodríguez_larreta,1,1,0,argentina,argentina
garcía_de_sobrecasa,garcía-mansilla,1,0,1,argentina,argentina
garza_sada,velasco_chile,1,1,0,mexico,chile
gonzález-olaechea,rojas,1,1,0,peru,colombia
graña,málaga,1,1,0,peru,peru
groot,restrepo,1,1,0,colombia,colombia
gómez_martínez,velasco_chile,1,1,0,colombia,chile
güemes,puch,1,0,1,argentina,argentina
herrera,pardo,1,1,0,colombia,colombia
holguín,largacha,1,1,0,colombia,colombia
kast,otálora,1,0,1,chile,argentina
lavalle,pardo,1,0,1,peru,colombia
lavalle,sánchez-concha,1,0,1,peru,peru
llosa,parra_chile,1,1,0,peru,chile
llosa,quintero,1,0,1,peru,colombia
llosa,vial,1,0,1,peru,chile
mackenna,videla,1,0,1,chile,argentina
matte,vicuña,1,1,0,chile,chile
miró_quesada,moreyra,1,1,0,peru,peru
obregón,vicuña,1,1,0,colombia,chile
orbegoso,santiago_concha,1,1,0,peru,chile
ortiz_de_rozas,ureta,1,1,0,argentina,peru
osma,pinal_hidalgo,1,0,1,peru,mexico
paz,roca_y_rodríguez,1,0,1,argentina,ecuador
pinal_hidalgo,vicuña,1,0,1,mexico,chile
pinto_chile,sánchez_de_bustamante,1,1,0,chile,argentina
pinto_chile,vodanovic,1,0,1,chile,chile
pizarro,tito,1,0,1,chile,peru
polar,vértiz,1,1,0,peru,peru
portales,segurola,1,0,1,chile,argentina
prieto,sanz_de_santamaría,1,0,1,chile,colombia
prieto,vial,1,0,1,chile,chile
pumarejo,santo_domingo,1,1,0,colombia,colombia
rocca,soler,1,1,0,argentina,mexico
rodríguez_saá,saá,1,0,1,argentina,argentina
saadi,zañartu,1,1,0,argentina,chile
salazar_y_meléndez,vértiz,1,1,0,peru,peru
santa_cruz,zea,1,0,1,peru,colombia
silva_santisteban,vial,1,1,0,peru,chile
tohá,valdivieso,1,1,0,chile,chile
tohá,vial,1,0,1,chile,chile
valdés,vial,1,0,1,mexico,chile
valdés_chile,vial,1,0,1,chile,chile
álvarez_calderón,benavides_perú,1,1,0,peru,peru
álvarez_del_casal,concha_chile,1,1,0,colombia,chile
álvarez_del_casal,nariño,1,0,1,colombia,colombia
álzaga,pachón,1,1,0,argentina,colombia
