nombre_p,fam_p,pais_p,nombre_r,fam_r,pais_r,tipo_relacion,ocupacion_p,ocupacion_r
Juan Vicente Bolívar y Ponte,palacios_venezuela,venezuela,Simón Bolívar,bolívar,colombia,padre/madre,NA,Militar y político
León Villaveces Ibáñez,urdaneta,colombia,Carlos Villaveces Restrepo,villaveces,colombia,padre/madre,Litógrafo e impresor,NA
Luis de la Cruz,vial,chile,José María de la Cruz Prieto,cruz_chile,chile,padre/madre,Político y militar,NA
Manuel Antonio Carreño,toro_venezuela,venezuela,Teresa Carreño,carreño,venezuela,padre/madre,"Diplomático , Músico y Pedagogo","Pianista , cantante y compositora"
Manuel Antonio José Warnes,garcía_de_zúñiga,colombia,Manuela Warnes,warnes,chile,padre/madre,Alcalde de primer voto del Cabildo de Buenos Aires,Primera Dama
Manuel Antonio José Warnes,garcía_de_zúñiga,colombia,Martina Warnes,warnes,argentina,padre/madre,Alcalde de primer voto del Cabildo de Buenos Aires,NA
Manuel Piqueras Cotolí,sánchez-concha,peru,Jorge Piqueras,lavalle,peru,padre/madre,Escultor y arquitecto,"Artista, pintor, escultor y fotógrafo"
Manuel Velarde Aspíllaga,paz,peru,Manuel Velarde Dellepiane,diez_canseco,peru,padre/madre,"Abogado , político",Político y abogado
Manuela Warnes,warnes,chile,Joaquín Prieto Warnes,garcía_de_zúñiga,chile,padre/madre,Primera Dama,diputado y empresario
María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela,Juan Vicente Bolívar Palacios,toro_venezuela,venezuela,padre/madre,NA,NA
María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela,Juana Bolívar Palacios,toro_venezuela,venezuela,padre/madre,NA,NA
María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela,María Antonia Bolívar Palacios,toro_venezuela,venezuela,padre/madre,NA,Propietaria
María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela,Simón Bolívar,bolívar,colombia,padre/madre,NA,Militar y político
Marcelino Uribe Botero,urdaneta,colombia,Marcelino Uribe Arango,restrepo,colombia,padre/madre,"Político , militar , abogado","Político , abogado"
Matilde Ladrón de Guevara,mendoza_ladrón_de_guevara,chile,Sybila Arredondo,bustamante,chile,padre/madre,"Escritora , periodista , poetisa y novelista",Historiadora
Miguel Antonio Caro,azuola,colombia,Julio Caro,caicedo,colombia,padre/madre,"Estadista , humanista .","Economista , Banquero"
Nicolás Sanz de Santamaría,prieto,chile,Francisco Sanz de Santamaría,galeano,colombia,padre/madre,alcalde capitán,abogado
Pío Tristán,tristán_del_pozo,peru,Victoria Tristán de Echenique,echenique,peru,padre/madre,Político y militar,NA
Pantaleón Gutiérrez,gutiérrez_díaz,colombia,José Gregorio Gutiérrez,caicedo,colombia,padre/madre,Político y empresario,Abogado Fiscal y Civil
Ricardo Portocarrero Caicedo,soublette,colombia,Julio Portocarrero O'Leary,caicedo,colombia,padre/madre,Comerciante,NA
Tomasa de la Quintana,escalada,argentina,Mariano Escalada,san_martín,argentina,padre/madre,Dama patricia,Militar
Agustina Paz de Roca,roca,argentina,Juan Bautista Paz,paz,argentina,padre/madre,Comerciante,Político
Alejandro Bulgheroni,bulgheroni,argentina,Alejandro Bunge,bunge,argentina,padre/madre,"empresario, ingeniero","Economista , político"
Alejandro Eder,eder,colombia,Henry Eder,caicedo,colombia,padre/madre,Político,Empresario
Alejandro Santos,santos,colombia,Enrique Santos Calderón,calderón_colombia,colombia,padre/madre,Expresidente del Grupo Semana Ex Director de la revista Semana,Periodista
Anacleto Clemente Bolívar,palacios_venezuela,venezuela,María Antonia Bolívar Palacios,toro_venezuela,venezuela,padre/madre,Militar,Propietaria
Andrés Marroquín Osorio,ricaurte,colombia,José Manuel Marroquín,nariño,colombia,padre/madre,NA,Escritor educador político periodista Estadista
Andrés Marroquín Osorio,ricaurte,colombia,Matilde Osorio Ricaurte,nariño,colombia,padre/madre,NA,Socialité
Andrés Villamizar,pachón,colombia,Maruja Pachón,galán,colombia,padre/madre,Economista,Periodista
Andrónico Lukšić Craig,fontbona,chile,Andrónico Lukšić Abaroa,luksic,chile,padre/madre,Empresario,Empresario
Antonio Subercaseaux,subercaseaux,chile,Ramón Subercaseaux Mercado,errázuriz,chile,padre/madre,Comerciante,"Comerciante , Pintura"
Antonio Subercaseaux,subercaseaux,chile,Magdalena Vicuña Aguirre,errázuriz,chile,padre/madre,Comerciante,Socialité y filántropa
Antonio de Vergara Azcárate,vergara-azcárate,colombia,Francisco de Vergara y Azcárate,olmos,colombia,padre/madre,"Militar , Político , Caballero y Tesorero",Militar
Armando Samper,samper,colombia,Daniel Samper Ortega,gnecco,colombia,padre/madre,Político,"Escritor, educador e historiador"
Arturo Alessandri Rodríguez,velasco_chile,chile,Arturo Alessandri,morandé,chile,padre/madre,Abogado,Abogado y político
Benjamín Vicuña Subercaseaux,subercaseaux,chile,Benjamín Vicuña Mackenna,mackenna,chile,padre/madre,Escritor y periodista,"Abogado , escritor y político"
Bernardo Larraín Matte,matte,chile,Patricia Matte,bunster,chile,padre/madre,Ingeniero comercial y empresario,"Socióloga , académica, investigadora y consultora naturista"
Bernardo Larraín Matte,matte,chile,Jorge Gabriel Larraín,bunster,chile,padre/madre,Ingeniero comercial y empresario,"Ingeniero comercial , académico y empresario"
Bernardo Matte,matte,chile,Eliodoro Matte Ossa,bunster,chile,padre/madre,Ingeniero comercial y empresario,Empresario
Bolívar Ulloa,ulloa,peru,Luis Ulloa,cisneros,peru,padre/madre,"Diplomático, docente universitario",Historiador
Carlos Díaz Vélez,álvarez_de_toledo_argentina,argentina,Eustoquio Díaz Vélez (hijo),díaz_vélez,argentina,padre/madre,estanciero,"estanciero, político"
Carlos Eugenio Restrepo,restrepo,colombia,Pedro Antonio Restrepo,jaramillo_colombia,colombia,padre/madre,"Abogado , periodista y militar","Empresario, educador, político, abogado"
Carlos Holguín Mallarino,caro,colombia,Vicente Holguín,arboleda,colombia,padre/madre,"Político, abogado, militar, escritor, periodista y diplomático",Empresario
Carlos María de Alvear,alvear,argentina,Diego de Alvear y Ponce de León,ponce_de_león,argentina,padre/madre,Militar,"Militar , geógrafo y político colonial"
Carlos Palacios y Blanco,palacios_venezuela,venezuela,Feliciano Palacios y Sojo,toro_venezuela,venezuela,padre/madre,Militar,Militar
Carlos Riesco Errazuriz,errázuriz,chile,Mauricio Riesco Droguett,echaurren,chile,padre/madre,NA,Abogado y Agricultor
Carmen Castillo (cineasta),allende,chile,Fernando Castillo Velasco,velasco_chile,chile,padre/madre,"Directora de cine , guionista , docente, documentalista y realizadora",Arquitecto y político
Carmen Castillo (cineasta),allende,chile,Mónica Echeverría,velasco_chile,chile,padre/madre,"Directora de cine , guionista , docente, documentalista y realizadora",Escritora y profesora
Claudio Matte,matte,chile,Domingo Matte Mesías,bello,chile,padre/madre,"Abogado , educador , político y filántropo",Político y abogado
Consuelo Lleras Puga,carrizosa,colombia,Alberto Lleras Camargo,camargo,colombia,padre/madre,Política,Periodista
Consuelo Lleras Puga,carrizosa,colombia,Bertha Puga,camargo,chile,padre/madre,Política,Escritora y política
Cristián Maquieira,vicuña,chile,Julita Astaburuaga,claro_chile,chile,padre/madre,Diplomático,Socialité
Cristian Castro,valdés,mexico,Manuel Vial,vial,chile,padre/madre,"Cantante , compositor , cantautor y productor discográfico",NA
Daniel Domingo de Escalada,escalada,argentina,Mariano Escalada,san_martín,argentina,padre/madre,Militar,Militar
David de Tezanos Pinto,pinto_chile,chile,Manuel de Tezanos-Pinto,garcía-huidobro,chile,padre/madre,"Abogado , profesor , funcionario","Periodista , youtuber , escritor deportivo, locutor y presentador de televisión"
Delfina de la Cruz,vial,chile,José María de la Cruz Prieto,cruz_chile,chile,padre/madre,"Primera dama , pianista y compositora",NA
Delia Matte Pérez,matte,chile,Domingo Matte Mesías,bello,chile,padre/madre,Suffragette,Político y abogado
Diana Turbay,turbay,colombia,Julio César Turbay,quintero,colombia,padre/madre,Periodista,Político
Diana Turbay,turbay,colombia,Nydia Quintero,quintero,colombia,padre/madre,Periodista,Lideresa comunitaria y filántropa
Diego de Angulo Lemos,largacha,colombia,Miguel Wenceslao de Angulo,angulo,colombia,padre/madre,Militar Abogado Estadista,Abogado
Eduardo Matte,matte,chile,Domingo Matte Mesías,bello,chile,padre/madre,Político y abogado,Político y abogado
Eduardo Matte,matte,chile,Domingo Matte Mesías,bello,chile,padre/madre,Político y abogado,Político y abogado
Eduardo Santos Montejo,santos,colombia,Francisco Santos Galvis,calderón_colombia,colombia,padre/madre,Abogado periodista historiador Político,"Abogado, periodista, político, empresario de medios"
Eliodoro Matte Larraín,matte,chile,Eliodoro Matte Ossa,bunster,chile,padre/madre,Empresario,Empresario
Elvira Rawson,rawson,argentina,Juan de Dios Rawson,rojo,argentina,padre/madre,"Médica, política, profesora, sufragista",Militar
Enrique Tola Mendoza,tola,peru,Fernando Tola Cires,de_habich,peru,padre/madre,"Ingeniero civil , docente universitario","Diplomático , político y abogado"
Ernesto Samper,samper,colombia,Andrés Samper Gnecco,gnecco,colombia,padre/madre,"Diplomático , abogado , economista y político",NA
Estanislao Vergara,tenorio,colombia,Francisco Xavier Vergara,caicedo,colombia,padre/madre,"abogado , diplomático , político",Abogado Fiscal y Civil
Esteban Justo García de Zúñiga,garcía_de_zúñiga,argentina,Alonso García de Zúñiga,warnes,argentina,padre/madre,Militar,Militar y comerciante
Esteban Palacios y Blanco,palacios_venezuela,venezuela,Feliciano Palacios y Sojo,toro_venezuela,venezuela,padre/madre,Político y Diputado a las Cortes de Cádiz,Militar
Fabio Lozano y Lozano,torrijos,colombia,Fabio Lozano Torrijos,lozano,colombia,padre/madre,"Abogado, escritor, historiador, diplomático","Abogado, escritor, político, diplomático"
Federica Matta,matta,chile,Roberto Matta,echaurren,chile,padre/madre,NA,"Pintor , escultor , arquitecto , diseñador , grabador , litógrafo , artista gráfico y artista visual"
Fernando Alessandri,velasco_chile,chile,Arturo Alessandri,morandé,chile,padre/madre,Abogado,Abogado y político
Fernando Bolívar,palacios_venezuela,venezuela,Juan Vicente Bolívar Palacios,toro_venezuela,venezuela,padre/madre,NA,NA
Fernando Caro Tanco,azuola,colombia,Julio Caro,caicedo,colombia,padre/madre,Fotógrafo y periodista,"Economista , Banquero"
Francisco Díez Marina,díez_marina,mexico,José María Díaz Ordaz,díaz_ordaz,mexico,padre/madre,Político,Militar
Francisco Javier Errázuriz Aldunate,echaurren,chile,Francisco Javier de Errázuriz Madariaga,errázuriz,chile,padre/madre,"Militar , político , comerciante y agricultor","Abogado , comerciante y político"
Francisco Javier Errázuriz Talavera,errázuriz,chile,Ladislao Errázuriz Pereira,echaurren,chile,padre/madre,"Ingeniero , empresario y político","Abogado , político"
Francisco Madero Hernández,madero,mexico,Evaristo Madero Elizondo,farías,mexico,padre/madre,NA,"Militar , empresario y político"
Francisco Morales Bermúdez,morales_bermúdez,peru,Remigio Morales Bermúdez Sánchez,llosa,peru,padre/madre,Político y oficial militar,Militar
Guillermo Lukšić,fontbona,chile,Andrónico Lukšić Abaroa,luksic,chile,padre/madre,Empresario,Empresario
Guillermo Palacios Bolívar,palacios_venezuela,venezuela,Juana Bolívar Palacios,toro_venezuela,venezuela,padre/madre,Militar,NA
Gustavo Santos Montejo,santos,colombia,Francisco Santos Galvis,calderón_colombia,colombia,padre/madre,"Escritor, artista","Abogado, periodista, político, empresario de medios"
Hernando Zuleta González,holguín,colombia,Hernando Zuleta Holguín,carreño,colombia,padre/madre,"Economista, escritor, educador y académico",Economista
Ignacio Sanz de Santamaría y Gómez de Salazar,sanz_de_santamaría,colombia,Nicolás Sanz de Santamaría,prieto,chile,padre/madre,alcalde,alcalde capitán
Ignacio de la Carrera y de las Cuevas,valdés_chile,chile,Ignacio de la Carrera y de las Cuevas,valdivieso,chile,padre/madre,Militar y político,Militar y político
Inti Briones,mendoza_ladrón_de_guevara,chile,Sybila Arredondo,bustamante,chile,padre/madre,"Director de cine , actor , director de fotografía y productor de cine",Historiadora
Isabel Sabogal,sabogal,peru,José Sabogal Wiesse,portocarrero_perú,peru,padre/madre,"Escritora , traductora , astróloga",Ingeniero agrónomo y Sociólogo
Javier Prado y Ugarteche,prado,peru,Mariano Ignacio Prado,málaga,peru,padre/madre,"Historiador , abogado",Militar
Joaquín Maciel y Lacoizqueta,maciel,argentina,Manuel Maciel y Cabral de Alpoin,alpoim,argentina,padre/madre,"Militar , conquistador , poblador , hacendado , comerciante , funcionario y gobernante colonial","Militar , conquistador , explorador , hacendado , funcionario y gobernante colonial"
Jorge Alessandri,velasco_chile,chile,Arturo Alessandri,morandé,chile,padre/madre,"Ingeniero civil , emprendedor , político e ingeniero",Abogado y político
Jorge Batlle,batlle,uruguay,Luis Batlle Berres,saavedra,uruguay,padre/madre,Abogado periodista político,"Periodista , político"
Jorge Batlle,batlle,uruguay,Matilde Ibáñez Tálice,saavedra,argentina,padre/madre,Abogado periodista político,Política
Jorge Riesco Errázuriz,errázuriz,chile,Mauricio Riesco Droguett,echaurren,chile,padre/madre,Funcionario y político,Abogado y Agricultor
Jorge de Tezanos Pinto,pinto_chile,argentina,Manuel de Tezanos-Pinto,garcía-huidobro,chile,padre/madre,"Comerciante , diplomático , militar","Periodista , youtuber , escritor deportivo, locutor y presentador de televisión"
José de San Martín,san_martín,argentina,Juan de San Martín,balcarce,argentina,padre/madre,Militar y político,"Militar , funcionario y gobernante colonial"
José de San Martín,san_martín,argentina,Gregoria Matorras,balcarce,argentina,padre/madre,Militar y político,Activista
José Manuel Marroquín Osorio,ricaurte,colombia,José Manuel Marroquín,nariño,colombia,padre/madre,"Escritor, licenciado en derecho canónico, biógrafo, necrólogo, sacerdote católico, educador",Escritor educador político periodista Estadista
José Manuel Marroquín Osorio,ricaurte,colombia,Matilde Osorio Ricaurte,nariño,colombia,padre/madre,"Escritor, licenciado en derecho canónico, biógrafo, necrólogo, sacerdote católico, educador",Socialité
José Miguel Carrera,pinto_chile,chile,Ignacio de la Carrera y de las Cuevas,valdivieso,chile,padre/madre,Político y militar,Militar y político
José Pablo Leyva,leyva,colombia,Lisandro Leyva Mazuera,durán_colombia,colombia,padre/madre,médico,Militar
José Pablo Leyva,leyva,colombia,Lisandro Leyva Mazuera,durán_colombia,colombia,padre/madre,médico,Militar
Grocio Prado,prado,peru,Mariano Ignacio Prado,málaga,peru,padre/madre,Oficial militar,Militar
José de Mosquera y Prieto,mosquera,colombia,Cristóbal de Mosquera y Silva,arboleda,colombia,padre/madre,NA,NA
José de Vergara Azcárate,vergara-azcárate,colombia,Francisco Vergara Mayorga,olmos,colombia,padre/madre,"Sacerdote , Filósofo",Contador
Juan Francisco García de Zúñiga,garcía_de_zúñiga,argentina,Alonso García de Zúñiga,warnes,argentina,padre/madre,Militar,Militar y comerciante
Juan Manuel de Rosas,ortiz_de_rozas,argentina,León Ortiz de Rozas,garcía-mansilla,argentina,padre/madre,"Estanciero , militar y político",Militar y político
Juan Manuel de Rosas,ortiz_de_rozas,argentina,Agustina López de Osornio,garcía-mansilla,argentina,padre/madre,"Estanciero , militar y político",Estanciera
Juana Uribe,pachón,colombia,Maruja Pachón,galán,colombia,padre/madre,"Guionista , productora de televisión",Periodista
Julia Vial,vial,chile,Patricio Valdés,valdés_chile,chile,padre/madre,Periodista,Juez y abogado
Julio Vicuña Cifuentes,vicuña,chile,Benjamín Vicuña,aylwin,chile,padre/madre,Escritor y poeta,Actor y empresario
León Ortiz de Rozas,garcía-mansilla,argentina,Domingo Ortiz de Rozas y Rodillo,ortiz_de_rozas,argentina,padre/madre,Militar y político,Militar
Leoncio Prado,prado,peru,Mariano Ignacio Prado,málaga,peru,padre/madre,Oficial naval,Militar
Leoncio Prado,prado,peru,Mariano Ignacio Prado,málaga,peru,padre/madre,Oficial naval,Militar
Lisandro Leyva Pereira,leyva,colombia,Lisandro Leyva Mazuera,durán_colombia,colombia,padre/madre,"Médico traumatólogo, escritor, ortopedista, educador",Militar
Lorenzo Marroquín,ricaurte,colombia,José Manuel Marroquín,nariño,colombia,padre/madre,"Escritor, político y diplomático",Escritor educador político periodista Estadista
Lorenzo Marroquín,ricaurte,colombia,Matilde Osorio Ricaurte,nariño,colombia,padre/madre,"Escritor, político y diplomático",Socialité
Lucio V. Mansilla,mansilla,argentina,Lucio Norberto Mansilla,garcía-mansilla,argentina,padre/madre,"Periodista , escritor , diplomático y militar",Militar
Lucio V. Mansilla,mansilla,argentina,Agustina Ortiz de Rozas,garcía-mansilla,argentina,padre/madre,"Periodista , escritor , diplomático y militar",Política
Luis Batlle Ibáñez,saavedra,uruguay,Matilde Ibáñez Tálice,batlle,argentina,padre/madre,Pianista,Política
Luis Miró Quesada Garland,miró_quesada,peru,Luis Miró Quesada de la Guerra,cisneros,peru,padre/madre,"arquitecto, periodista","Periodista, político"
Luis Prieto Vial,vial,chile,Jenaro Prieto,prieto,chile,padre/madre,"Arquitecto , empresario y dirigente gremial","Abogado , periodista y escritor"
Luis Ulloa,cisneros,peru,Casimiro Ulloa,ulloa,peru,padre/madre,Historiador,"médico , docente , escritor , periodista , político"
Luis Vicuña Cifuentes,vicuña,chile,Benjamín Vicuña,aylwin,chile,padre/madre,Abogado,Actor y empresario
Luis Villaveces Santamaría,villaveces,colombia,León Villaveces Ibáñez,urdaneta,colombia,padre/madre,"Empresario, contador público y juguetero",Litógrafo e impresor
Magdalena Vicuña Aguirre,errázuriz,chile,Francisco Ramón Vicuña Larraín,mackenna,chile,padre/madre,Socialité y filántropa,"Militar , Político"
Manuel Escalada,san_martín,argentina,Antonio José de Escalada,balcarce,argentina,padre/madre,Militar,Político y Comerciante
Manuel José Yrarrázaval,concha_chile,chile,José Miguel Irarrázaval Alcalde,mackenna,chile,padre/madre,Abogado y político,Abogado y político
Manuel Ospina Vásquez,ospina,colombia,Carolina Vásquez de Ospina,lleras,colombia,padre/madre,"Político , terrateniente",Empresaria
Manuel de Tezanos Pinto (constituyente),pinto_chile,argentina,Manuel de Tezanos-Pinto,garcía-huidobro,chile,padre/madre,"Abogado , político , comerciante","Periodista , youtuber , escritor deportivo, locutor y presentador de televisión"
Manuela Warnes,warnes,chile,Manuel Antonio José Warnes,garcía_de_zúñiga,colombia,padre/madre,Primera Dama,Alcalde de primer voto del Cabildo de Buenos Aires
María Eugenia de Escalada,san_martín,argentina,Antonio José de Escalada,balcarce,argentina,padre/madre,Ejércitos patriotas,Político y Comerciante
María de las Nieves de Escalada,san_martín,argentina,Antonio José de Escalada,balcarce,argentina,padre/madre,Ejércitos patriotas,Político y Comerciante
Margarita Caro de Holguín,caro,colombia,José Eusebio Caro,azuola,colombia,padre/madre,NA,"Filósofo, poeta, escritor, ideólogo"
Margarita Caro de Holguín,caro,colombia,José Eusebio Caro,azuola,colombia,padre/madre,NA,"Filósofo, poeta, escritor, ideólogo"
Mariano Escalada,san_martín,argentina,Antonio José de Escalada,balcarce,argentina,padre/madre,Militar,Político y Comerciante
Mariano Prado Ugarteche,prado,peru,Mariano Ignacio Prado,málaga,peru,padre/madre,"Empresario , banquero , catedrático universitario , político",Militar
Martín Gabriel Güemes,güemes,argentina,Martín Güemes y Puch,puch,argentina,padre/madre,Abogado y político,Político y militar
Marta Cruz-Coke,cruz-coke,chile,Eduardo Cruz-Coke,cruz_chile,chile,padre/madre,"filósofa, profesora, gestora cultural","Diplomático , político y médico"
Maximiano Errázuriz Valdivieso,errázuriz,chile,Francisco Javier Errázuriz Aldunate,echaurren,chile,padre/madre,Agrimensor,"Militar , político , comerciante y agricultor"
Mercedes Belzu,gorriti,bolivia,Manuel Isidoro Belzu,zuviría,bolivia,padre/madre,"Escritora , poetisa y traductora",Militar y político
Mercedes Belzu,gorriti,bolivia,Juana Manuela Gorriti,zuviría,argentina,padre/madre,"Escritora , poetisa y traductora",Escritora y periodista
Mercedes Marín del Solar,claro_chile,chile,Gaspar Manrique,manrique,colombia,padre/madre,"Educadora, poetisa, profesora",NA
Mercedes Ortiz de Rozas,ortiz_de_rozas,argentina,León Ortiz de Rozas,garcía-mansilla,argentina,padre/madre,Escritora,Militar y político
Mercedes Ortiz de Rozas,ortiz_de_rozas,argentina,Agustina López de Osornio,garcía-mansilla,argentina,padre/madre,Escritora,Estanciera
Miguel Samper Strouss,gnecco,colombia,Ernesto Samper,samper,colombia,padre/madre,"Abogado , político","Diplomático , abogado , economista y político"
Natalia Toledo Paz,pinal_hidalgo,mexico,Francisco Tudela,osma,peru,padre/madre,Escritora y poeta,Abogado
Nicanor Restrepo Santamaría,restrepo,colombia,Juan Guillermo Restrepo,jaramillo_colombia,colombia,padre/madre,"Empresario, profesor y líder",Político
Nicolás Caputo,caputo,argentina,Jorge Claro,claro_chile,chile,padre/madre,Empresario y político,Ingeniero civil y economista
Nicolás Yerovi,cano,peru,Leonidas Yerovi,yerovi,peru,padre/madre,"Escritor, periodista, poeta, dramaturgo, humorista","Poeta , dramaturgo y periodista"
Paloma Yerovi Cisneros,yerovi,peru,Nicolás Yerovi,cano,peru,padre/madre,Actriz y Dramaturga,"Escritor, periodista, poeta, dramaturgo, humorista"
Pedro Nel Ospina,lleras,colombia,Mariano Ospina Rodríguez,ospina,colombia,padre/madre,"Militar , político , ingeniero de minas",Abogado
Pedro de Cisternas,cortés_de_monroy,chile,María Malo,malo,mexico,padre/madre,NA,Modelo Reina de Belleza
Prudencio Rosas,ortiz_de_rozas,argentina,León Ortiz de Rozas,garcía-mansilla,argentina,padre/madre,Militar,Militar y político
Prudencio Rosas,ortiz_de_rozas,argentina,Agustina López de Osornio,garcía-mansilla,argentina,padre/madre,Militar,Estanciera
Prudencio Rosas,ortiz_de_rozas,argentina,León Ortiz de Rozas,garcía-mansilla,argentina,padre/madre,Militar,Militar y político
Prudencio Rosas,ortiz_de_rozas,argentina,Agustina López de Osornio,garcía-mansilla,argentina,padre/madre,Militar,Estanciera
Rafael Urdaneta Vargas,parís,venezuela,Dolores Vargas París,urdaneta,venezuela,padre/madre,Político y militar,NA
Rafael Urdaneta Vargas,urdaneta,venezuela,Rafael Urdaneta,parís,venezuela,padre/madre,Político y militar,"Militar , político"
Ramón Subercaseaux Mercado,errázuriz,chile,Francisco Subercaseaux Breton,subercaseaux,chile,padre/madre,"Comerciante , Pintura",Empresario
Ricardo Matte Pérez,matte,chile,Domingo Matte Mesías,bello,chile,padre/madre,Abogado,Político y abogado
Roberto Urdaneta,urdaneta,colombia,Roberto Urdaneta,caro,colombia,padre/madre,"Periodista, político, diplomático","Periodista, político, diplomático"
Rodrigo Lloreda Caicedo,caicedo,colombia,Álvaro Lloreda,cabal,colombia,padre/madre,"Abogado, periodista, empresario",Político y diplomático
Serapio de Tezanos Pinto,pinto_chile,argentina,Manuel de Tezanos-Pinto,garcía-huidobro,chile,padre/madre,Político y comerciante,"Periodista , youtuber , escritor deportivo, locutor y presentador de televisión"
Tadea Lozano e Isasi,lozano,colombia,José María Lozano de Peralta,álvarez_del_casal,colombia,padre/madre,NA,Empresario
Tadea Lozano e Isasi,lozano,colombia,José María Lozano de Peralta,álvarez_del_casal,colombia,padre/madre,NA,Empresario
Tadeo Vergara,sanz_de_santamaría,colombia,Francisco Xavier Vergara,caicedo,colombia,padre/madre,Profesor y Militar,Abogado Fiscal y Civil
Teresa Lozano e Isasi,ayala,colombia,José María Lozano de Peralta,álvarez_del_casal,colombia,padre/madre,NA,Empresario
Teresa Tanco de Herrera,cordovéz,colombia,Mariano Tanco,argáez,colombia,padre/madre,Pianista y compositora,Diplomático
Teresa Tanco de Herrera,cordovéz,colombia,Mariano Tanco,argáez,colombia,padre/madre,Pianista y compositora,Diplomático
Victoria Subercaseaux Vicuña,subercaseaux,chile,Ramón Subercaseaux Mercado,errázuriz,chile,padre/madre,NA,"Comerciante , Pintura"
Victoria Subercaseaux Vicuña,subercaseaux,chile,Magdalena Vicuña Aguirre,errázuriz,chile,padre/madre,NA,Socialité y filántropa
Amenodoro Urdaneta,parís,colombia,Dolores Vargas París,urdaneta,venezuela,hijo/a,"Escritor, artista, político, educador",NA
