nombre1,nombre2,fam1,fam2,pais1,pais2,tipo_relacion
Mario Ruiz Massieu,María Eugenia Bielsa,ruiz-massieu,bielsa,mexico,argentina,conyuge
Vanessa Ciangherotti,Roberto Rocca,soler,rocca,mexico,argentina,conyuge
Marlene Dietrich,John F. Kennedy,díaz_ceballos,onassis,mexico,argentina,pareja
Juan de Tolosa,Leonor Cortés Moctezuma,moctezuma,pizarro,mexico,chile,conyuge
Alberto Baillères González,Teresa Hales,baillères,hales,mexico,chile,conyuge
Francisco José Madero González,María Luisa Fernández,madero,concha_chile,mexico,chile,conyuge
Gustavo Madero Muñoz,María Eugenia Hirmas,madero,bitar,mexico,chile,conyuge
Isaac Garza Garza,Consuelo Saavedra,garza_sada,velasco_chile,mexico,chile,conyuge
Luis Calderón Vega,María del Carmen Sotomayor,calderón_hinojosa,errázuriz,mexico,chile,conyuge
Catalina Suárez Marcayda,Hernán Cortés,moctezuma,moctezuma,mexico,colombia,conyuge
Antonio Aguilar hijo,Susana Correa,aguilar,borrero,mexico,colombia,conyuge
La Malinche,Hernán Cortés,moctezuma,moctezuma,mexico,colombia,pareja
Alfredo del Mazo González,María del Carmen Ureta,del_mazo,ureta,mexico,peru,conyuge
David Alfaro Siqueiros,Blanca Luz Brum,miró_quesada,miró_quesada,mexico,uruguay,conyuge
Mario Vargas Llosa,Julia Urquidi Illanes,vargas_llosa,vargas_llosa,peru,bolivia,conyuge
Carlos Malpica,Teresa Marinovic,silva_santisteban,vial,peru,chile,conyuge
Luis Solari,María del Carmen Sotomayor,solari,errázuriz,peru,chile,conyuge
Constanza Nordenflycht,Diego Portales,portales,portales,peru,chile,pareja
Constanza Nordenflycht,Diego Portales,portales,portales,peru,chile,pareja
José Pardo y Aliaga,María Teresa Londoño,pardo,herrera,peru,colombia,conyuge
Luis Caycedo y Flórez,María Josefa Sanz de Santamaría,caicedo,sanz_de_santamaría,peru,colombia,conyuge
Manuel González Olaechea,María Eugenia Rojas,gonzález-olaechea,rojas,peru,colombia,conyuge
Gonzalo Revoredo,Beatriz Caballero,elías,caballero,peru,colombia,pareja
Lastenia Larriva,Numa Pompilio Llona,llona,llona,peru,ecuador,conyuge
Juan Parra del Riego,Blanca Luz Brum,miró_quesada,miró_quesada,peru,uruguay,conyuge
Alejandro Miró Quesada Garland,Adriana Cisneros,cisneros,cisneros_venezuela,peru,venezuela,conyuge
Baltasar Unquera,Martina Warnes,garcía_de_zúñiga,warnes,uruguay,argentina,conyuge
Celia Podestá,Arturo Podestá,podestá,podestá,uruguay,argentina,conyuge
Luis Batlle Berres,Matilde Ibáñez Tálice,saavedra,batlle,uruguay,argentina,conyuge
María Teresa Torterolo,Pedro Podestá,podestá,podestá,uruguay,argentina,conyuge
Liliana García,Mauricio Pešutić,pinto_chile,pinto_chile,uruguay,chile,conyuge
Pedro Bordaberry,María José Prieto,bordaberry,di_girolamo,uruguay,chile,conyuge
Blanca Luz Brum,César Miró,miró_quesada,miró_quesada,uruguay,peru,conyuge
Jonathan Freudman,Carolina Mestrovic,velasco_chile,velasco_chile,venezuela,argentina,conyuge
María Teresa del Toro,Simón Bolívar,palacios_venezuela,bolívar,venezuela,colombia,conyuge
Marquesado de Solanda,Antonio José de Sucre,sucre,sucre,venezuela,colombia,conyuge
María Teresa del Toro,Simón Bolívar,toro_venezuela,bolívar,venezuela,colombia,conyuge
Eduardo López Rivas,Celia Bustamante,urdaneta,bustamante,venezuela,peru,conyuge
