persona_id,nombre,pais_persona,pais_vinculo,campo,texto
1195,Ciriaco Díaz Vélez,argentina,uruguay,lugar_fallecimiento_parseado,"Concepción del Uruguay , Argentina"
1219,Claudia de Francisco,colombia,chile,lugar_nacimiento_parseado,"Santiago de Cali , Valle del Cauca , Colombia [ 1 ] ​"
1237,Clemente López de Osornio,argentina,peru,lugar_nacimiento_parseado,"Buenos Aires , Virreinato del Perú"
1242,Clodomiro Bustamante,peru,chile,lugar_fallecimiento_parseado,Arica ( Chile )
1246,Clotilde García Borrero,colombia,peru,lugar_nacimiento_parseado,"Neiva , Tolima Grande , Colombia"
1269,Conrado Villegas,argentina,uruguay,lugar_nacimiento_parseado,"Estancia El Tala , Canelones , Uruguay"
1272,Constanza Nordenflycht,peru,chile,lugar_fallecimiento_parseado,"Santiago , República de Chile"
1274,Constanza Nordenflycht,peru,chile,lugar_fallecimiento_parseado,"Santiago , República de Chile"
1284,Cornelio Saavedra,argentina,peru,lugar_nacimiento_parseado,"Otuyo , corregimiento de Potosí , provincia de Charcas , virreinato del Perú , Imperio español"
1297,Cristóbal de Mosquera y Silva,colombia,peru,lugar_nacimiento_parseado,"Popayán , Virreinato del Perú"
1298,Cristóbal de Mosquera y Silva,colombia,peru,lugar_nacimiento_parseado,"Popayán , Virreinato del Perú"
1314,Cristian Castro,mexico,argentina,residencia,"Buenos Aires , Argentina"
1316,Cristian Leiva,argentina,chile,lugar_nacimiento_parseado,"Chilecito , La Rioja , Argentina"
1331,Dalia Inés,mexico,argentina,lugar_nacimiento_parseado,"Santa Fe , Argentina Santa Fe ( Argentina )"
1361,Daphne Dougall,argentina,peru,lugar_fallecimiento_parseado,"Lima , Perú Perú"
1363,Darío Echandía,colombia,peru,lugar_fallecimiento_parseado,"Ibagué , Tolima , Colombia"
1363,Darío Echandía,colombia,peru,lugar_nacimiento_parseado,"Chaparral , Tolima , Colombia"
1379,David Solari (futbolista),argentina,colombia,lugar_nacimiento_parseado,"Barranquilla , Colombia"
1381,David de Tezanos Pinto,chile,argentina,lugar_fallecimiento_parseado,"Buenos Aires , Argentina"
1411,Diego Aráoz,argentina,peru,lugar_nacimiento_parseado,"San Miguel de Tucumán , Virreinato del Perú"
1427,Diego José de Pueyrredón,argentina,peru,lugar_nacimiento_parseado,"Buenos Aires , Virreinato del Perú"
1434,Diego Montero del Águila,chile,peru,lugar_fallecimiento_parseado,"Saña , Virreinato del Perú"
1436,Diego Noboa,ecuador,chile,lugar_nacimiento_parseado,"Santiago de Guayaquil , Imperio Español ."
1440,Diego Portales y Salas,chile,peru,lugar_fallecimiento_parseado,"Lima , Virreinato del Perú , Imperio Español"
1454,Dionisia Pérez Manrique y Camberos,colombia,paraguay,lugar_fallecimiento_parseado,". Asunción de Popayán , Provincia de Popayán , Virreinato de Nueva Granada"
1454,Dionisia Pérez Manrique y Camberos,colombia,peru,lugar_nacimiento_parseado,". Santafé de Bogotá , Reino de la Nueva Granada , Virreinato del Perú"
1474,Domingo Esguerra Plata,colombia,peru,lugar_nacimiento_parseado,"Falan , Tolima , Estados Unidos de Colombia"
1484,Domingo Ortiz de Rozas,argentina,peru,lugar_fallecimiento_parseado,"Mar de Hoces (cerca del cabo de Hornos , Virreinato del Perú ) , Reino de España"
1498,Dominguito Fidel Sarmiento,argentina,chile,lugar_nacimiento_parseado,"Santiago , Chile [ 1 ] ​"
1528,Eduardo Braun Menéndez,argentina,chile,lugar_nacimiento_parseado,"Punta Arenas , Chile"
1696,Enrique Chirinos Soto,peru,chile,residencia,"Santiago de Surco , Lima , Perú"
1718,Enrique López Bustamante,venezuela,argentina,lugar_fallecimiento_parseado,"Buenos Aires , Argentina"
1779,Che Guevara,argentina,mexico,residencia,Argentina (1928-1953) Guatemala (1954) México (1954-1956) Cuba (1956-1965) República Democrática ...
1779,Che Guevara,argentina,bolivia,residencia,Argentina (1928-1953) Guatemala (1954) México (1954-1956) Cuba (1956-1965) República Democrática ...
1783,Ernesto Durán Cordovez,colombia,peru,lugar_nacimiento_parseado,"Neiva , Tolima Grande , Colombia"
1821,Esther Boggini,argentina,uruguay,lugar_nacimiento_parseado,"Montevideo , Uruguay"
1844,Eugenio de Matta Vargas,chile,peru,lugar_nacimiento_parseado,"Castro , Virreinato del Perú"
1872,Félix Denegri Luna,peru,ecuador,lugar_fallecimiento_parseado,", 79 años Quito , Ecuador"
1882,Fabio Lozano y Lozano,colombia,peru,lugar_nacimiento_parseado,"Ibagué , Tolima Grande , Colombia"
1884,Fabio Lozano y Lozano,colombia,peru,lugar_nacimiento_parseado,"Ibagué , Tolima Grande , Colombia"
2005,Felipe Barreda y Laos,peru,argentina,lugar_fallecimiento_parseado,"Buenos Aires , Argentina"
2008,Felipe Braun,chile,mexico,lugar_nacimiento_parseado,Ciudad de México ( México )
2038,Felipe Taboada,argentina,chile,lugar_fallecimiento_parseado,"Santiago del Estero , Argentina"
2065,Fernando Botero Zea,colombia,mexico,residencia,Ciudad de México
2065,Fernando Botero Zea,colombia,mexico,lugar_nacimiento_parseado,"Ciudad de México , México"
2081,Fernando Errázuriz Sotomayor,chile,peru,lugar_nacimiento_parseado,"Rancagua , Reino de Chile , Virreinato del Perú , Imperio español"
2092,Fernando Loyola,mexico,chile,lugar_fallecimiento_parseado,Querétaro Santiago de Querétaro (México)
2094,Fernando Luján,mexico,colombia,lugar_nacimiento_parseado,Bogotá ( Colombia )
2095,Fernando Márquez de la Plata Encalada,chile,peru,lugar_nacimiento_parseado,"Lima , Virreinato del Perú , ( Imperio español )"
2096,Fernando María Campero Barragán,bolivia,argentina,lugar_fallecimiento_parseado,"Salta , República Argentina"
2125,Fernando Tola Mendoza,peru,argentina,lugar_fallecimiento_parseado,Buenos Aires ( Argentina )
2139,Fernando de la Fuente y Rojas,chile,peru,lugar_fallecimiento_parseado,"Lima , Virreinato del Perú"
2139,Fernando de la Fuente y Rojas,chile,peru,lugar_nacimiento_parseado,"Pisco , Virreinato del Perú"
2158,Florentino González,colombia,argentina,lugar_fallecimiento_parseado,Buenos Aires ( Argentina )
2178,Francisco Antonio Pinto,chile,argentina,residencia,Buenos Aires ( Argentina ) Santiago ( Chile )
2183,Francisco Aráoz de Lamadrid,argentina,peru,lugar_fallecimiento_parseado,"Chacas , Áncash , Perú"
2195,Francisco Borges,argentina,uruguay,lugar_nacimiento_parseado,"Montevideo , Uruguay"
2201,Francisco Candioti,argentina,peru,lugar_nacimiento_parseado,"Santa Fe , Virreinato del Perú"
2209,Francisco Díez Marina,mexico,chile,lugar_fallecimiento_parseado,Santiago de Querétaro (México)
2209,Francisco Díez Marina,mexico,chile,lugar_nacimiento_parseado,Santiago de Querétaro ( México )
2211,Francisco Diez Canseco Távara,peru,chile,residencia,"Santiago de Surco , Lima"
2222,Francisco García-Calderón Rey,peru,chile,lugar_nacimiento_parseado,Valparaíso ( Chile )
2224,Francisco García-Calderón Rey,peru,chile,lugar_nacimiento_parseado,Valparaíso ( Chile )
2229,Francisco González de Cosío y Arauz,mexico,chile,lugar_fallecimiento_parseado,Santiago de Querétaro (México)
2229,Francisco González de Cosío y Arauz,mexico,chile,lugar_nacimiento_parseado,Santiago de Querétaro ( México )
2230,Francisco González de Cossío Martínez,mexico,chile,lugar_nacimiento_parseado,Santiago de Querétaro
2231,Francisco González de Cossío y Rivera,mexico,chile,lugar_fallecimiento_parseado,Santiago de Querétaro (México)
2231,Francisco González de Cossío y Rivera,mexico,chile,lugar_nacimiento_parseado,Santiago de Querétaro ( México )
2236,Francisco Hermógenes Ramos Mejía,argentina,peru,lugar_nacimiento_parseado,"Buenos Aires , Virreinato del Perú (hoy, Argentina )"
2239,Francisco Jattin,colombia,argentina,lugar_nacimiento_parseado,"Santa Cruz de Lorica , Córdoba , Colombia"
2240,Francisco Jattin,colombia,argentina,lugar_nacimiento_parseado,"Santa Cruz de Lorica , Córdoba , Colombia"
2241,Francisco José Jattin Safar,colombia,argentina,lugar_fallecimiento_parseado,"Lorica, Córdoba, Colombia"
2241,Francisco José Jattin Safar,colombia,argentina,lugar_nacimiento_parseado,"[ cita requerida ] Lorica , Córdoba , Colombia [ cita requerida ]"
2260,Francisco José Jattin Safar,colombia,argentina,lugar_fallecimiento_parseado,"Lorica, Córdoba, Colombia"
2260,Francisco José Jattin Safar,colombia,argentina,lugar_nacimiento_parseado,"[ cita requerida ] Lorica , Córdoba , Colombia [ cita requerida ]"
2266,Francisco Urrutia Holguín,colombia,ecuador,lugar_nacimiento_parseado,"Quito , Provincia de Pichincha , Ecuador"
2277,Francisco María González Balcarce,argentina,peru,lugar_fallecimiento_parseado,"Nazareno, Departamento de Potosí , Virreinato del Perú"
2278,Francisco María Roca,ecuador,peru,lugar_fallecimiento_parseado,"Lima , Perú"
2279,Francisco Marambio,chile,argentina,lugar_nacimiento_parseado,Buenos Aires ( Argentina )
2286,Francisco Miró-Quesada Rada,peru,chile,residencia,"Santiago de Surco , Lima"
2292,Francisco Niño Bueno,colombia,venezuela,lugar_fallecimiento_parseado,Venezuela
2305,Francisco Rafael Augier,argentina,chile,ocupacion,"Alférez Real de Santiago del Estero, subdelegado de Real Hacienda de Catamarca regidor del Cabild..."
2306,Francisco Ramírez Luque,mexico,chile,lugar_nacimiento_parseado,"Santiago de Querétaro , Querétaro , México"
2335,Francisco Urrutia Holguín,colombia,ecuador,lugar_nacimiento_parseado,"Quito , Provincia de Pichincha , Ecuador"
2337,Francisco Urrutia Ordóñez,colombia,ecuador,lugar_fallecimiento_parseado,"Quito , Ecuador"
2347,Francisco Xavier de Echagüe,argentina,peru,lugar_fallecimiento_parseado,Lima ( Perú )
2359,Francisco de Borja y Miguel,colombia,peru,lugar_fallecimiento_parseado,"Trujillo , Virreinato del Perú"
2359,Francisco de Borja y Miguel,colombia,peru,lugar_nacimiento_parseado,"Santafé de Bogotá , Virreinato del Perú"
2376,Frank Pérez-Garland,peru,mexico,residencia,México
2382,Fuad Char,colombia,argentina,lugar_nacimiento_parseado,"Lorica , Córdoba , Colombia"
2383,Fuad Char,colombia,argentina,lugar_nacimiento_parseado,"Lorica , Córdoba , Colombia"
2427,Genaro Delgado Parker,peru,bolivia,lugar_fallecimiento_parseado,Cementerio Jardines de la Paz de La Molina
2454,Germán Santamaría,colombia,peru,lugar_nacimiento_parseado,"Líbano , Tolima , Colombia"
2492,Godofredo Iommi,argentina,chile,lugar_fallecimiento_parseado,"Viña del Mar , Chile"
