from,to,pais_origen,pais_destino
https://es.wikipedia.org/wiki/Carmen_Ib%C3%A1%C3%B1ez,https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Godoy_Ib%C3%A1%C3%B1ez,argentina,chile
https://es.wikipedia.org/wiki/Carmen_Ib%C3%A1%C3%B1ez,https://es.wikipedia.org/wiki/Mar%C3%ADa_Luisa_Godoy,argentina,chile
https://es.wikipedia.org/wiki/Carolina_Mestrovic,https://es.wikipedia.org/wiki/Jonathan_Freudman,argentina,venezuela
https://es.wikipedia.org/wiki/Carolina_Mestrovic,https://es.wikipedia.org/wiki/Mario_Velasco,argentina,chile
https://es.wikipedia.org/wiki/Caroline_Kennedy,https://es.wikipedia.org/wiki/Tatiana_Schlossberg,argentina,peru
https://es.wikipedia.org/wiki/Casimiro_Marc%C3%B3_del_Pont,https://es.wikipedia.org/wiki/Buenaventura_Marc%C3%B3_del_Pont,chile,argentina
https://es.wikipedia.org/wiki/Casimiro_Ulloa,https://es.wikipedia.org/wiki/Alberto_Ulloa_Cisneros,peru,argentina
https://es.wikipedia.org/wiki/Catalina_Su%C3%A1rez_Marcayda,https://es.wikipedia.org/wiki/Hern%C3%A1n_Cort%C3%A9s,chile,mexico
https://es.wikipedia.org/wiki/Cecilia_Alegr%C3%ADa,https://es.wikipedia.org/wiki/Ciro_Alegr%C3%ADa,chile,peru
https://es.wikipedia.org/wiki/Cecilia_Alegr%C3%ADa_Varona,https://es.wikipedia.org/wiki/Ciro_Alegr%C3%ADa,chile,peru
https://es.wikipedia.org/wiki/Cecilia_Arboleda_Mosquera,https://es.wikipedia.org/wiki/Jorge_Holgu%C3%ADn,colombia,chile
https://es.wikipedia.org/wiki/Cecilia_Arboleda_Mosquera,https://es.wikipedia.org/wiki/Jorge_Holgu%C3%ADn_Mallarino,colombia,chile
https://es.wikipedia.org/wiki/Cecilia_Arboleda_de_Holgu%C3%ADn,https://es.wikipedia.org/wiki/Jorge_Holgu%C3%ADn,colombia,chile
https://es.wikipedia.org/wiki/Cecilia_Bolocco,https://es.wikipedia.org/wiki/Carlos_Menem,chile,argentina
https://es.wikipedia.org/wiki/Cecilia_Navia,https://es.wikipedia.org/wiki/Santiago_Alarc%C3%B3n,colombia,chile
https://es.wikipedia.org/wiki/Che_Guevara,https://es.wikipedia.org/wiki/Hilda_Gadea,argentina,peru
https://es.wikipedia.org/wiki/China_Su%C3%A1rez,https://es.wikipedia.org/wiki/Benjam%C3%ADn_Vicu%C3%B1a,argentina,chile
https://es.wikipedia.org/wiki/Christian_Bach,https://es.wikipedia.org/wiki/Humberto_Zurita,argentina,mexico
https://es.wikipedia.org/wiki/Christian_Bach,https://es.wikipedia.org/wiki/Sebasti%C3%A1n_Zurita,argentina,mexico
https://es.wikipedia.org/wiki/Ciro_Alegr%C3%ADa,https://es.wikipedia.org/wiki/Cecilia_Alegr%C3%ADa,peru,chile
https://es.wikipedia.org/wiki/Ciro_Alegr%C3%ADa,https://es.wikipedia.org/wiki/Cecilia_Alegr%C3%ADa_Varona,peru,chile
https://es.wikipedia.org/wiki/Ciro_Alegr%C3%ADa,https://es.wikipedia.org/wiki/Dora_Varona,peru,chile
https://es.wikipedia.org/wiki/Condado_de_Ba%C3%B1os,https://es.wikipedia.org/wiki/Juan_Francisco_de_Leyva_y_de_la_Cerda,colombia,mexico
https://es.wikipedia.org/wiki/Condado_de_Superunda,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Manso_de_Velasco,chile,argentina
https://es.wikipedia.org/wiki/Condado_de_Villaminaya,https://es.wikipedia.org/wiki/Diego_Portales_y_Meneses,chile,venezuela
https://es.wikipedia.org/wiki/Consuelo_Lleras,https://es.wikipedia.org/wiki/Alberto_Lleras_Camargo,chile,colombia
https://es.wikipedia.org/wiki/Consuelo_Lleras,https://es.wikipedia.org/wiki/Felipe_Zuleta_Lleras,chile,colombia
https://es.wikipedia.org/wiki/Consuelo_Lleras_Puga,https://es.wikipedia.org/wiki/Alberto_Lleras_Camargo,chile,colombia
https://es.wikipedia.org/wiki/Consuelo_Lleras_Puga,https://es.wikipedia.org/wiki/Felipe_Zuleta_Lleras,chile,colombia
https://es.wikipedia.org/wiki/Cuxirimay_Ocllo,https://es.wikipedia.org/wiki/Atahualpa,mexico,chile
https://es.wikipedia.org/wiki/Cuxirimay_Ocllo,https://es.wikipedia.org/wiki/Francisco_Pizarro,mexico,peru
https://es.wikipedia.org/wiki/Cuxirimay_Ocllo,https://es.wikipedia.org/wiki/Juan_de_Betanzos,mexico,peru
