from,to,tipo,cross_country,cross_family,edge_kind,campo
3185,3188,Padre/Madre,FALSE,FALSE,familiar,NA
3185,3188,Hijo/a,FALSE,FALSE,familiar,NA
2771,3189,Padre/Madre,TRUE,FALSE,familiar,NA
2771,3189,Hijo/a,TRUE,FALSE,familiar,NA
874,3198,Hijo/a,FALSE,FALSE,familiar,NA
874,3198,Padre/Madre,FALSE,FALSE,familiar,NA
2521,3265,Padre/Madre,FALSE,TRUE,familiar,NA
447,3295,Hijo/a,FALSE,FALSE,familiar,NA
447,3295,Padre/Madre,FALSE,FALSE,familiar,NA
486,3295,Hijo/a,FALSE,FALSE,familiar,NA
2428,3297,Padre/Madre,FALSE,FALSE,familiar,NA
2428,3297,Hijo/a,FALSE,FALSE,familiar,NA
1635,3328,Cónyuge,FALSE,FALSE,familiar,NA
1636,3328,Cónyuge,FALSE,FALSE,familiar,NA
1683,3328,Hijo/a,FALSE,FALSE,familiar,NA
1683,3328,Padre/Madre,FALSE,FALSE,familiar,NA
1636,3329,Cónyuge,FALSE,FALSE,familiar,NA
1683,3329,Hijo/a,FALSE,FALSE,familiar,NA
3112,3362,Padre/Madre,FALSE,FALSE,familiar,NA
3112,3362,Hijo/a,FALSE,FALSE,familiar,NA
3011,3384,Hijo/a,FALSE,FALSE,familiar,NA
3011,3385,Padre/Madre,FALSE,FALSE,familiar,NA
3011,3385,Hijo/a,FALSE,FALSE,familiar,NA
1390,3387,Padre/Madre,FALSE,FALSE,familiar,NA
605,3393,Hijo/a,FALSE,FALSE,familiar,NA
605,3393,Padre/Madre,FALSE,FALSE,familiar,NA
2428,3393,Cónyuge,FALSE,FALSE,familiar,NA
3014,3393,Hijo/a,FALSE,FALSE,familiar,NA
3014,3393,Padre/Madre,FALSE,FALSE,familiar,NA
3297,3393,Hijo/a,FALSE,FALSE,familiar,NA
3297,3393,Padre/Madre,FALSE,FALSE,familiar,NA
450,3404,Hijo/a,FALSE,FALSE,familiar,NA
450,3404,Padre/Madre,FALSE,FALSE,familiar,NA
1059,3404,Padre/Madre,FALSE,FALSE,familiar,NA
1059,3404,Hijo/a,FALSE,FALSE,familiar,NA
1606,3404,Cónyuge,FALSE,FALSE,familiar,NA
1438,3456,Padre/Madre,FALSE,FALSE,familiar,NA
1438,3456,Hijo/a,FALSE,FALSE,familiar,NA
2257,3461,Padre/Madre,FALSE,FALSE,familiar,NA
2340,3461,Padre/Madre,FALSE,FALSE,familiar,NA
2341,3461,Padre/Madre,FALSE,FALSE,familiar,NA
2370,3461,Padre/Madre,FALSE,FALSE,familiar,NA
2370,3461,Hijo/a,FALSE,FALSE,familiar,NA
1297,3484,Padre/Madre,FALSE,FALSE,familiar,NA
1297,3484,Hijo/a,FALSE,FALSE,familiar,NA
3384,3484,Padre/Madre,FALSE,FALSE,familiar,NA
3385,3484,Padre/Madre,FALSE,FALSE,familiar,NA
2521,3487,Padre/Madre,FALSE,FALSE,familiar,NA
2521,3487,Hijo/a,FALSE,FALSE,familiar,NA
3112,3510,Padre/Madre,FALSE,FALSE,familiar,NA
3112,3510,Hijo/a,FALSE,FALSE,familiar,NA
3040,3523,Padre/Madre,FALSE,FALSE,familiar,NA
3040,3523,Hijo/a,FALSE,FALSE,familiar,NA
148,3559,Padre/Madre,FALSE,TRUE,familiar,NA
149,3559,Hijo/a,FALSE,FALSE,familiar,NA
149,3559,Padre/Madre,FALSE,FALSE,familiar,NA
3185,3560,Padre/Madre,FALSE,FALSE,familiar,NA
3185,3560,Hijo/a,FALSE,FALSE,familiar,NA
3186,3560,Padre/Madre,TRUE,FALSE,familiar,NA
3186,3560,Hijo/a,TRUE,FALSE,familiar,NA
702,3670,Hijo/a,FALSE,FALSE,familiar,NA
721,3670,Padre/Madre,FALSE,TRUE,familiar,NA
721,3670,Hijo/a,FALSE,TRUE,familiar,NA
2489,3687,Padre/Madre,FALSE,FALSE,familiar,NA
2489,3687,Hijo/a,FALSE,FALSE,familiar,NA
2489,3688,Padre/Madre,FALSE,FALSE,familiar,NA
146,3703,Padre/Madre,FALSE,TRUE,familiar,NA
