nombre1,nombre2,pais1,pais2,tipo_relacion
Ignacio José de Lizarzaburu,Pedro Ignacio Lizarzaburu,colombia,ecuador,hijo/a
Antonio José de Sucre,Mariana Carcelén,colombia,ecuador,conyuge
Simón Bolívar,Manuela Sáenz,colombia,ecuador,pareja
Hernán Cortés,Martín Cortés Zúñiga,colombia,mexico,hijo/a
Alonso Hernández Portocarrero,La Malinche,colombia,mexico,conyuge
Hernán Cortés,Catalina Suárez Marcayda,colombia,mexico,conyuge
Alonso Hernández Portocarrero,La Malinche,colombia,mexico,pareja
Hernán Cortés,La Malinche,colombia,mexico,pareja
Hernán Cortés,Isabel Moctezuma Tecuichpo Ixcaxochitzin,colombia,mexico,pareja
Juan Manuel Grau y Berrío,Enrique Grau Seminario,colombia,peru,padre/madre
Domingo Caycedo,Luis Caycedo y Flórez,colombia,peru,padre/madre
Fernando Caycedo,Luis Caycedo y Flórez,colombia,peru,padre/madre
Fernando Caycedo,Luis Caycedo y Flórez,colombia,peru,padre/madre
Domingo Caycedo,Luis Caycedo y Flórez,colombia,peru,hijo/a
Fernando Caycedo,Luis Caycedo y Flórez,colombia,peru,hijo/a
Juan Manuel Grau y Berrío,Miguel Grau,colombia,peru,hijo/a
Juan Manuel Grau y Berrío,Enrique Grau Seminario,colombia,peru,hijo/a
Salvador Camacho Roldán,María del Carmen Ureta,colombia,peru,conyuge
Ana María Orozco,Salvador del Solar,colombia,peru,pareja
Daniel Florencio O'Leary,Simón O'Leary Soublette,colombia,venezuela,padre/madre
Ignacio Vargas,Dolores Vargas París,colombia,venezuela,padre/madre
Amenodoro Urdaneta,Rafael Urdaneta,colombia,venezuela,padre/madre
Amenodoro Urdaneta,Dolores Vargas París,colombia,venezuela,padre/madre
Antonio Guzmán Blanco,Antonio Leocadio Guzmán,colombia,venezuela,padre/madre
Josefa Andrade Berti,Francisco de Paula Andrade Troconis,colombia,venezuela,padre/madre
Simón Bolívar,Juan Vicente Bolívar y Ponte,colombia,venezuela,padre/madre
Simón Bolívar,María de la Concepción Palacios y Blanco,colombia,venezuela,padre/madre
Amenodoro Urdaneta,Dolores Vargas París,colombia,venezuela,hijo/a
Amenodoro Urdaneta,Rafael Urdaneta,colombia,venezuela,hijo/a
Simón Bolívar,Juan Vicente Bolívar y Ponte,colombia,venezuela,hijo/a
Antonio Guzmán Blanco,César Zumeta,colombia,venezuela,hijo/a
Daniel Florencio O'Leary,Simón O'Leary Soublette,colombia,venezuela,hijo/a
Ignacio Vargas,Dolores Vargas París,colombia,venezuela,hijo/a
Eugen d'Albert,Teresa Carreño,colombia,venezuela,conyuge
Antonio José de Sucre,Marquesado de Solanda,colombia,venezuela,conyuge
Manuel Carvajal Sinisterra,María Teresa del Toro,colombia,venezuela,conyuge
Simón Bolívar,María Teresa del Toro,colombia,venezuela,conyuge
José Antonio de Lizarzaburu,Ignacio José de Lizarzaburu,ecuador,colombia,padre/madre
Pedro Ignacio Lizarzaburu,Ignacio José de Lizarzaburu,ecuador,colombia,padre/madre
Simona de Sucre Bravo,Antonio José de Sucre,ecuador,colombia,padre/madre
Simona de Sucre Bravo,Antonio José de Sucre,ecuador,colombia,hijo/a
José Antonio de Lizarzaburu,Ignacio José de Lizarzaburu,ecuador,colombia,hijo/a
Mariana Carcelén,Antonio José de Sucre,ecuador,colombia,conyuge
Manuela Sáenz,Simón Bolívar,ecuador,colombia,pareja
Numa Pompilio Llona,Lastenia Larriva,ecuador,peru,conyuge
Emiliano Zurita,Christian Bach,mexico,argentina,padre/madre
Fernando Luján,Alejandro Ciangherotti,mexico,argentina,padre/madre
Sebastián Zurita,Christian Bach,mexico,argentina,padre/madre
Fernando Luján,Alejandro Ciangherotti,mexico,argentina,hijo/a
Mercedes Soler (actriz),Alejandro Ciangherotti II,mexico,argentina,hijo/a
Guadalupe Pineda,Dardo Rocha,mexico,argentina,conyuge
Humberto Zurita,Christian Bach,mexico,argentina,conyuge
Mario Ruiz Massieu,María Eugenia Bielsa,mexico,argentina,conyuge
Mercedes Soler (actriz),Alejandro Ciangherotti,mexico,argentina,conyuge
Vanessa Ciangherotti,Roberto Rocca,mexico,argentina,conyuge
Marlene Dietrich,John F. Kennedy,mexico,argentina,pareja
Isabel Moctezuma Tecuichpo Ixcaxochitzin,Leonor Cortés Moctezuma,mexico,chile,padre/madre
Cristian Castro,Manuel Vial,mexico,chile,padre/madre
Blanca Guerra,Emiliano Figueroa,mexico,chile,hijo/a
Juan de Tolosa,Leonor Cortés Moctezuma,mexico,chile,conyuge
Alberto Baillères González,Teresa Hales,mexico,chile,conyuge
Francisco José Madero González,María Luisa Fernández,mexico,chile,conyuge
Gustavo Madero Muñoz,María Eugenia Hirmas,mexico,chile,conyuge
Isaac Garza Garza,Consuelo Saavedra,mexico,chile,conyuge
Luis Calderón Vega,María del Carmen Sotomayor,mexico,chile,conyuge
Martín Cortés Zúñiga,Magdalena de Guzmán,mexico,chile,conyuge
Martín Cortés Zúñiga,Hernán Cortés,mexico,colombia,padre/madre
Martín Cortés Zúñiga,Hernán Cortés,mexico,colombia,hijo/a
Catalina Suárez Marcayda,Hernán Cortés,mexico,colombia,conyuge
Antonio Aguilar hijo,Susana Correa,mexico,colombia,conyuge
La Malinche,Hernán Cortés,mexico,colombia,pareja
La Malinche,Alonso Hernández Portocarrero,mexico,colombia,pareja
Natalia Toledo Paz,Francisco Tudela,mexico,peru,padre/madre
Flor Silvestre,Marcela Robles,mexico,peru,hijo/a
